;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
9;Miguel Ángel Moyá;es ESP;GK;Real Sociedad;es La Liga;33;1984;8.5;0.94;0.24;0.00;0.12;0.00;1.06;0.19;0.12;+0.12;8.94;17.3;51.7;34.2;2.82;36.4;35.1;8.24;58.6;41.4;14.9;1.06;7.1;1.76;1.77;14.8;Matches;011d8c56
10;Alphonse Areola;fr FRA;GK;Paris S-G;fr Ligue 1;24;1993;34.0;0.74;0.03;0.06;0.15;0.03;0.77;0.24;0.06;+0.07;1.53;3.00;51.0;19.4;4.91;9.7;22.8;7.06;15.8;29.3;11.9;0.65;5.4;1.47;1.47;16.1;Matches;2f965a72
11;Kepa Arrizabalaga;es ESP;GK;Athletic Club;es La Liga;22;1994;30.0;1.43;0.03;0.10;0.17;0.10;1.45;0.30;0.11;+0.11;10.6;21.5;49.4;28.1;3.73;56.5;42.2;6.87;81.6;58.1;13.2;0.77;5.8;0.73;0.73;13.4;Matches;28d596a0
12;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;28;1989;23.0;1.30;0.13;0.04;0.09;0.00;1.39;0.29;0.09;+0.09;5.39;15.0;35.8;19.7;5.13;43.8;37.4;8.70;73.5;52.8;17.3;1.13;6.5;1.13;1.13;12.8;Matches;9f0ea33f
13;Mariano Barbosa;ar ARG;GK;Villarreal;es La Liga;33;1984;12.5;1.12;0.08;0.00;0.16;0.00;1.10;0.28;-0.02;-0.01;3.68;12.2;30.3;18.4;4.56;30.4;32.4;8.40;78.1;54.1;19.4;0.40;2.1;0.40;0.40;10.0;Matches;aad4f74f
14;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;27;1990;34.0;1.41;0.09;0.03;0.26;0.06;1.25;0.27;-0.10;-0.10;6.56;17.4;37.8;34.7;5.26;36.2;33.4;7.68;62.5;47.9;14.1;1.09;7.7;0.82;0.82;12.5;Matches;47064058
15;Asmir Begovi?;ba BIH;GK;Bournemouth;eng Premier League;30;1987;38.0;1.61;0.05;0.05;0.18;0.03;1.44;0.31;-0.14;-0.14;5.87;17.0;34.5;21.9;5.66;45.7;38.9;8.63;81.4;55.5;16.1;0.92;5.7;0.47;0.47;10.2;Matches;7b4de647
16;Vid Belec;si SVN;GK;Benevento;it Serie A;27;1990;12.4;2.18;0.24;0.08;0.08;0.16;2.33;0.36;0.31;+0.32;4.35;13.8;31.6;21.3;5.65;42.0;37.4;8.71;55.6;43.4;16.9;1.05;6.2;0.73;0.73;11.4;Matches;4f8ce0e1
17;Vid Belec;si SVN;GK;Sampdoria;it Serie A;27;1990;2.0;2.50;0.50;0.00;0.50;0.00;2.20;0.23;-0.30;-0.28;3.50;11.5;30.4;35.0;5.00;27.1;26.5;8.00;25.0;32.8;17.5;0.00;0.0;2.00;2.00;20.5;Matches;4f8ce0e1
18;Diego Benaglio;ch SUI;GK;Monaco;fr Ligue 1;33;1983;2.5;0.00;0.00;0.00;0.00;0.00;0.76;0.31;0.76;+0.75;4.80;11.2;42.9;16.8;4.80;40.5;32.3;9.20;47.8;41.7;14.8;0.40;2.7;0.40;0.40;16.2;Matches;b7e7937d
19;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;24;1993;28.0;1.29;0.11;0.04;0.00;0.07;1.32;0.29;0.11;+0.11;3.64;9.36;38.9;19.4;5.75;24.9;29.2;8.29;54.7;43.9;15.9;0.46;2.9;0.14;0.14;11.1;Matches;8a2248b4
20;Etrit Berisha;al ALB;GK;Atalanta;it Serie A;28;1989;31.0;1.10;0.03;0.06;0.06;0.00;1.07;0.32;-0.02;-0.02;5.90;13.3;44.4;19.6;5.45;36.5;34.5;7.52;81.5;54.0;12.8;0.58;4.5;0.81;0.81;14.1;Matches;ee833569
21;Quentin Beunardeau;fr FRA;GK;Metz;fr Ligue 1;23;1994;0.4;5.00;0.00;0.00;0.00;0.00;4.00;0.40;-1.00;-0.90;20.0;42.5;47.1;40.0;5.00;87.5;45.0;10.0;75.0;59.0;20.0;0.00;0.0;2.50;2.31;21.0;Matches;15285503
22;Albano Bizzarri;ar ARG;GK;Udinese;it Serie A;39;1977;32.0;1.63;0.06;0.03;0.28;0.13;1.39;0.29;-0.11;-0.11;7.91;18.0;43.9;24.7;4.41;45.5;38.0;9.38;72.0;48.8;16.4;0.78;4.8;0.94;0.94;13.1;Matches;32b9b5fa
23;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;22;1995;21.6;1.44;0.14;0.00;0.19;0.00;1.21;0.28;-0.22;-0.22;6.34;19.2;33.0;30.6;3.52;45.6;38.8;6.99;75.5;55.2;15.0;0.28;1.8;0.93;0.93;13.8;Matches;967f34d3
24;Landry Bonnefoi;fr FRA;GK;Strasbourg;fr Ligue 1;33;1983;3.0;2.00;0.00;0.00;0.33;0.00;1.60;0.28;-0.40;-0.39;5.67;14.0;40.5;15.0;4.00;51.1;38.9;9.33;67.9;46.5;17.7;0.33;1.9;0.00;0.00;8.8;Matches;e65dd8dc
25;Jean-Christophe Bouet;fr FRA;GK;Amiens;fr Ligue 1;34;1983;1.0;1.00;0.00;0.00;0.00;0.00;1.30;0.19;0.30;+0.30;7.00;21.0;33.3;17.0;4.00;52.9;40.4;13.0;92.3;55.4;19.0;0.00;0.0;0.00;0.00;5.0;Matches;96908f80
26;Yassine Bounou;ma MAR;GK;Girona;es La Liga;26;1991;29.5;1.56;0.14;0.07;0.07;0.03;1.51;0.30;-0.02;-0.02;7.66;21.5;35.6;21.5;2.92;65.9;46.0;8.24;89.7;60.8;13.9;0.31;2.2;0.98;0.98;14.4;Matches;f6798fc3
27;Claudio Bravo;cl CHI;GK;Manchester City;eng Premier League;34;1983;2.5;0.40;0.00;0.00;0.00;0.00;0.64;0.31;0.24;+0.22;1.60;3.60;44.4;24.4;6.40;6.6;25.3;4.00;50.0;39.5;8.40;0.80;9.5;1.20;1.19;15.4;Matches;10072610
28;Alberto Brignoli;it ITA;GK;Benevento;it Serie A;25;1991;12.5;2.48;0.16;0.00;0.48;0.00;2.08;0.35;-0.40;-0.40;6.96;21.0;33.1;30.7;5.04;47.7;39.4;9.28;69.0;51.1;16.3;1.60;9.8;2.16;2.16;16.3;Matches;6989550f
29;Gianluigi Buffon;it ITA;GK;Juventus;it Serie A;39;1978;20.7;0.68;0.14;0.00;0.10;0.10;0.85;0.25;0.27;+0.26;4.06;9.23;44.0;22.9;4.69;28.1;31.9;7.25;38.7;36.8;11.7;0.14;1.2;0.92;0.92;14.0;Matches;e40d028b
30;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;26;1990;33.0;1.30;0.09;0.06;0.09;0.00;1.38;0.30;0.08;+0.08;4.94;14.6;33.9;31.8;5.61;31.7;32.4;7.18;62.4;49.7;12.2;1.21;9.9;1.15;1.15;14.0;Matches;9d12e142
31;Ludovic Butelle;fr FRA;GK;Angers;fr Ligue 1;34;1983;18.4;1.20;0.16;0.05;0.05;0.11;1.07;0.25;-0.02;-0.02;4.84;17.1;28.3;21.2;4.57;48.2;38.6;7.88;86.9;54.7;13.9;1.20;8.6;1.36;1.36;16.2;Matches;26975a92
32;Jack Butland;eng ENG;GK;Stoke City;eng Premier League;24;1993;35.0;1.74;0.14;0.00;0.23;0.06;1.76;0.29;0.08;+0.08;10.8;27.7;38.9;26.7;2.94;71.1;48.4;9.66;90.2;62.4;17.4;0.71;4.1;1.11;1.11;13.7;Matches;cc70a1d5
33;Willy Caballero;ar ARG;GK;Chelsea;eng Premier League;35;1981;3.0;1.33;0.00;0.00;0.00;0.00;1.17;0.36;-0.17;-0.18;5.33;12.7;42.1;28.3;4.00;31.8;29.2;5.00;73.3;51.7;11.0;0.33;3.0;1.67;1.67;17.7;Matches;a179d516
34;Yoan Cardinale;fr FRA;GK;Nice;fr Ligue 1;23;1994;10.0;1.60;0.00;0.10;0.10;0.10;1.32;0.33;-0.18;-0.18;3.90;7.90;49.4;19.2;3.60;16.7;26.3;9.10;51.6;43.4;11.7;0.50;4.3;0.50;0.50;12.0;Matches;950ff24d
35;Kiko Casilla;es ESP;GK;Real Madrid;es La Liga;30;1986;10.0;1.10;0.00;0.00;0.10;0.10;1.05;0.37;0.05;+0.05;3.10;7.60;40.8;19.5;4.80;22.1;31.0;7.20;45.8;41.3;11.8;0.40;3.4;0.50;0.50;13.3;Matches;58bc7d18
36;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;25;1992;34.0;1.41;0.18;0.03;0.12;0.06;1.48;0.28;0.13;+0.13;7.29;19.2;37.9;30.7;6.18;44.2;38.0;8.47;67.0;52.0;15.4;1.68;10.9;0.88;0.88;12.1;Matches;db401046
37;Petr ?ech;cz CZE;GK;Arsenal;eng Premier League;35;1982;33.8;1.42;0.15;0.00;0.18;0.00;1.36;0.30;-0.06;-0.06;4.41;12.2;36.0;23.9;6.60;34.4;34.4;6.66;60.4;47.2;12.6;0.98;7.7;1.54;1.54;14.4;Matches;71672fa0
38;Nereo Champagne;ar ARG;GK;Leganés;es La Liga;32;1985;2.0;3.00;0.50;0.50;0.00;0.00;2.35;0.47;-0.65;-0.65;9.50;21.5;44.2;19.0;2.00;65.8;46.3;9.50;94.7;58.3;10.5;0.50;4.8;1.00;1.00;16.0;Matches;7a9fae62
39;Leandro Chichizola;ar ARG;GK;Las Palmas;es La Liga;27;1990;27.0;1.74;0.11;0.04;0.15;0.04;1.88;0.33;0.18;+0.18;5.78;16.4;35.2;33.6;6.48;35.2;34.1;8.52;53.9;47.1;13.9;0.85;6.1;2.11;2.11;17.0;Matches;8d957256
40;Jasper Cillessen;nl NED;GK;Barcelona;es La Liga;28;1989;1.0;1.00;0.00;0.00;0.00;0.00;0.70;0.10;-0.30;-0.32;1.00;6.00;16.7;21.0;5.00;23.8;27.9;10.0;10.0;30.4;7.00;0.00;0.0;0.00;0.00;7.7;Matches;04ac8285
41;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;30;1987;36.8;1.58;0.05;0.08;0.19;0.03;1.37;0.29;-0.18;-0.18;7.53;16.3;46.2;22.1;4.95;47.4;39.3;8.04;72.3;49.0;16.5;0.60;3.6;0.63;0.62;11.9;Matches;8cabdc1e
42;Alex Cordaz;it ITA;GK;Crotone;it Serie A;34;1983;38.0;1.74;0.16;0.08;0.34;0.00;1.68;0.29;-0.06;-0.06;8.21;24.1;34.1;21.7;2.58;71.5;47.8;9.34;92.1;58.6;18.2;0.21;1.2;0.84;0.84;13.8;Matches;e66ebabb
43;Angelo da Costa Júnior;br BRA;GK;Bologna;it Serie A;33;1983;4.0;1.25;0.25;0.00;0.25;0.00;1.25;0.24;0.00;-0.01;8.00;19.0;42.1;30.8;7.50;36.6;34.0;10.5;73.8;51.2;14.5;0.25;1.7;1.25;1.25;17.3;Matches;18736214
44;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;30;1987;36.0;1.25;0.11;0.11;0.14;0.03;1.08;0.25;-0.15;-0.15;6.56;17.5;37.5;24.3;4.17;45.3;38.9;8.19;79.0;54.9;13.2;0.83;6.3;0.94;0.94;14.5;Matches;2434f24a
45;Thibaut Courtois;be BEL;GK;Chelsea;eng Premier League;25;1992;35.0;0.97;0.06;0.00;0.06;0.06;0.90;0.29;-0.01;-0.01;4.37;12.3;35.6;27.1;6.11;32.0;33.8;7.09;50.8;45.3;12.7;0.74;5.8;0.69;0.69;13.2;Matches;1840e36d
46;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;23;1994;28.2;1.67;0.21;0.14;0.04;0.04;1.55;0.28;-0.08;-0.08;7.77;17.2;45.2;19.4;4.50;48.5;38.6;9.04;85.5;56.9;16.1;0.92;5.7;0.53;0.53;10.6;Matches;f554e29b
47;Luca Crosta;it ITA;GK;Cagliari;it Serie A;19;1998;1.0;3.00;1.00;0.00;0.00;0.00;2.50;0.49;-0.50;-0.53;2.00;10.0;20.0;12.0;3.00;25.0;30.8;10.0;70.0;48.3;18.0;0.00;0.0;0.00;0.00;8.8;Matches;a4ec7d09
48;Iván Cuéllar;es ESP;GK;Leganés;es La Liga;33;1984;35.0;1.23;0.14;0.09;0.11;0.00;1.27;0.28;0.04;+0.04;8.89;25.5;34.8;24.5;2.54;75.2;49.4;7.37;96.1;63.8;13.7;0.83;6.0;1.34;1.34;15.7;Matches;75751c99
49;Karl Darlow;eng ENG;GK;Newcastle Utd;eng Premier League;26;1990;10.0;1.50;0.30;0.00;0.00;0.20;1.58;0.28;0.28;+0.28;7.80;23.2;33.6;24.7;3.70;62.3;43.2;8.70;89.7;57.9;15.9;1.10;6.9;0.40;0.40;11.7;Matches;cde3309f
50;Abdoulaye Diallo;sn SEN;GK;Rennes;fr Ligue 1;25;1992;3.0;1.67;0.33;0.33;0.00;0.00;1.93;0.33;0.27;+0.28;6.00;12.7;47.4;19.3;4.33;36.2;31.1;6.67;85.0;55.7;9.67;1.00;10.3;1.33;1.33;14.5;Matches;26383ea5
51;Thomas Didillon;fr FRA;GK;Metz;fr Ligue 1;21;1995;9.0;1.56;0.33;0.00;0.00;0.11;1.51;0.31;0.07;+0.07;8.11;18.3;44.2;21.6;5.11;49.0;40.4;8.78;88.6;56.6;16.1;1.33;8.3;1.11;1.11;14.0;Matches;a3d524cb
52;Marko Dmitrovi?;rs SRB;GK;Eibar;es La Liga;25;1992;36.0;1.36;0.11;0.06;0.06;0.08;1.24;0.34;-0.04;-0.04;9.28;24.7;37.6;26.2;2.58;72.4;51.4;6.00;95.4;70.1;9.42;0.58;6.2;2.69;2.69;19.0;Matches;ac295d9e
53;Jaume Doménech;es ESP;GK;Valencia;es La Liga;26;1990;5.0;1.00;0.00;0.00;0.20;0.00;1.38;0.34;0.38;+0.39;3.60;9.60;37.5;21.2;6.20;25.5;29.2;6.80;61.8;48.8;16.2;0.40;2.5;0.60;0.60;11.9;Matches;c9cb972b
54;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;18;1999;38.0;1.11;0.05;0.00;0.11;0.03;1.02;0.28;-0.06;-0.05;4.58;10.3;44.4;25.5;3.95;28.0;29.7;7.03;45.3;37.8;12.8;0.42;3.3;1.03;1.03;14.1;Matches;08f5afaa
55;Bart?omiej Dr?gowski;pl POL;GK;Fiorentina;it Serie A;19;1997;2.4;3.33;0.00;0.42;0.42;0.00;2.33;0.34;-1.00;-1.01;4.17;12.5;33.3;17.1;2.50;56.1;42.7;4.17;70.0;49.3;12.9;0.42;3.2;0.42;0.41;11.0;Matches;085e71a7
56;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;28;1989;12.0;0.92;0.00;0.00;0.00;0.00;1.18;0.36;0.27;+0.26;5.08;16.5;30.8;21.3;2.67;48.2;38.5;7.75;80.6;56.0;15.3;1.08;7.1;1.08;1.08;12.9;Matches;3a949a25
57;Maxime Dupé;fr FRA;GK;Nantes;fr Ligue 1;24;1993;1.0;3.00;1.00;0.00;0.00;0.00;2.10;0.22;-0.90;-0.91;7.00;17.0;41.2;14.0;4.00;64.3;44.7;8.00;100.0;63.9;20.0;3.00;15.0;3.00;3.00;13.7;Matches;0e12089d
58;Ederson;br BRA;GK;Manchester City;eng Premier League;23;1993;35.5;0.73;0.00;0.03;0.03;0.06;0.67;0.28;-0.00;0.00;3.10;6.48;47.8;26.3;4.70;15.5;26.2;4.51;53.1;46.1;7.46;0.54;7.2;2.45;2.45;18.8;Matches;3bb7b8b4
59;Rob Elliot;ie IRL;GK;Newcastle Utd;eng Premier League;31;1986;16.0;1.31;0.06;0.00;0.19;0.06;1.18;0.27;-0.07;-0.07;9.63;23.2;41.5;23.6;2.88;63.5;44.1;9.94;82.4;55.8;16.1;0.94;5.8;0.94;0.94;13.2;Matches;b1b25949
60;Michael Esser;de GER;GK;Hannover 96;de Bundesliga;29;1987;3.0;3.00;0.00;0.00;0.00;0.00;2.27;0.34;-0.73;-0.73;7.67;17.0;45.1;32.3;6.67;41.2;35.0;8.33;44.0;39.5;18.3;2.67;14.5;1.00;1.00;12.6;Matches;83e0eeb4
61;?ukasz Fabia?ski;pl POL;GK;Swansea City;eng Premier League;32;1985;38.0;1.47;0.08;0.03;0.13;0.05;1.57;0.28;0.14;+0.14;8.29;21.4;38.8;24.1;4.18;54.5;42.2;9.42;87.7;59.9;16.2;1.11;6.8;0.58;0.58;11.4;Matches;9328b835
62;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;28;1988;33.5;1.10;0.09;0.03;0.09;0.03;1.05;0.25;-0.02;-0.02;5.67;14.2;39.9;21.3;3.76;45.7;38.3;7.04;63.6;47.4;13.6;1.58;11.6;0.54;0.54;10.9;Matches;1e43fad8
63;Andrés Fernández;es ESP;GK;Villarreal;es La Liga;30;1986;2.5;2.40;0.40;0.00;0.80;0.00;2.00;0.26;-0.40;-0.42;4.00;13.6;29.4;16.8;3.60;38.1;32.0;10.8;66.7;48.2;18.0;0.00;0.0;2.00;2.00;16.1;Matches;307fcd26
64;Raúl Fernández;es ESP;GK;Levante;es La Liga;29;1988;11.0;1.36;0.00;0.09;0.27;0.00;1.48;0.31;0.12;+0.11;9.82;22.5;43.5;20.7;3.00;69.3;47.8;8.64;94.7;62.8;16.8;0.73;4.3;1.55;1.55;17.8;Matches;6fb59070
65;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;29;1988;20.0;1.50;0.00;0.05;0.10;0.00;1.29;0.26;-0.21;-0.21;5.05;17.1;29.4;18.0;3.10;59.7;43.4;7.30;87.7;59.1;12.9;0.50;3.9;0.70;0.70;14.1;Matches;c3e39f12
66;Ben Foster;eng ENG;GK;West Brom;eng Premier League;34;1983;37.0;1.49;0.03;0.05;0.19;0.05;1.24;0.30;-0.20;-0.20;9.35;24.4;38.3;21.9;1.89;71.6;48.5;9.14;95.6;65.7;16.0;1.00;6.3;0.73;0.73;12.8;Matches;d0b3ceb9
67;Paulo Gazzaniga;ar ARG;GK;Tottenham;eng Premier League;25;1992;1.0;0.00;0.00;0.00;0.00;0.00;0.70;0.25;0.70;+0.74;3.00;7.00;42.9;17.0;3.00;29.4;32.9;8.00;25.0;30.9;10.0;2.00;20.0;1.00;1.00;12.3;Matches;63d17038
68;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;26;1990;37.0;0.76;0.03;0.03;0.14;0.05;1.04;0.28;0.34;+0.34;6.27;16.6;37.8;21.6;3.97;48.6;39.6;7.84;77.6;55.8;13.1;0.43;3.3;0.57;0.57;12.8;Matches;7ba6d84e
69;Rafa? Gikiewicz;pl POL;GK;Freiburg;de Bundesliga;29;1987;1.7;1.76;0.00;0.00;0.00;0.00;0.88;0.21;-0.88;-0.89;16.5;33.5;49.1;30.6;4.12;67.3;48.9;13.5;95.7;66.2;24.1;1.18;4.9;0.59;0.58;14.5;Matches;17376543
70;Dani Giménez;es ESP;GK;Betis;es La Liga;34;1983;3.4;0.00;0.00;0.00;0.00;0.00;0.44;0.19;0.44;+0.44;2.35;11.8;20.0;27.6;2.94;34.0;34.5;5.88;40.0;36.4;18.2;0.88;4.8;0.59;0.58;10.4;Matches;7c218bf9
71;Pierluigi Gollini;it ITA;GK;Atalanta;it Serie A;22;1995;6.9;0.58;0.00;0.00;0.14;0.00;0.81;0.34;0.23;+0.24;3.19;7.39;43.1;21.0;3.48;17.2;29.9;7.25;52.0;44.9;13.0;0.29;2.2;0.72;0.72;15.7;Matches;f0f7f62f
72;Heurelho Gomes;br BRA;GK;Watford;eng Premier League;36;1981;23.6;1.69;0.13;0.04;0.30;0.04;1.53;0.34;-0.13;-0.13;8.43;20.5;41.2;24.0;4.87;60.4;42.3;7.58;78.8;56.5;14.5;0.64;4.4;0.76;0.76;12.2;Matches;d596e193
73;Alfred Gomis;sn SEN;GK;SPAL;it Serie A;23;1993;25.1;1.71;0.24;0.04;0.20;0.08;1.78;0.27;0.15;+0.15;6.41;19.4;33.1;22.7;4.10;59.2;44.1;8.80;67.0;48.8;16.5;0.52;3.1;0.80;0.80;13.8;Matches;cecbce23
74;Mathieu Gorgelin;fr FRA;GK;Lyon;fr Ligue 1;26;1990;4.0;1.50;0.00;0.25;0.00;0.00;1.23;0.38;-0.28;-0.28;2.25;7.50;30.0;17.5;3.00;31.4;34.4;6.00;33.3;38.6;15.8;0.75;4.8;0.00;0.00;11.6;Matches;4d3e9033
75;Lee Grant;eng ENG;GK;Stoke City;eng Premier League;34;1983;3.0;2.33;0.00;0.00;0.33;0.00;1.60;0.32;-0.73;-0.74;8.33;20.0;41.7;23.0;4.67;59.4;42.9;7.67;82.6;58.0;13.0;0.33;2.6;1.33;1.33;18.6;Matches;9dab6e3b
76;Vicente Guaita;es ESP;GK;Getafe;es La Liga;30;1987;33.0;0.79;0.03;0.00;0.03;0.00;1.08;0.31;0.30;+0.30;7.36;24.2;30.5;21.5;2.09;73.5;49.2;8.61;96.8;64.1;14.5;0.64;4.4;1.03;1.03;15.0;Matches;ab13a5aa
77;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;27;1990;33.0;1.58;0.15;0.00;0.24;0.00;1.43;0.29;-0.15;-0.15;6.76;16.5;40.9;27.1;4.61;43.8;36.0;6.24;74.3;50.6;13.3;1.09;8.2;1.00;1.00;13.9;Matches;bcb2ccd8
78;Régis Gurtner;fr FRA;GK;Amiens;fr Ligue 1;30;1986;37.0;1.11;0.11;0.00;0.08;0.00;1.32;0.27;0.21;+0.21;8.89;24.6;36.2;24.2;2.65;63.3;43.9;9.76;95.0;58.9;17.1;0.84;4.9;0.68;0.68;12.6;Matches;bc270726
79;Ben Hamer;eng ENG;GK;Leicester City;eng Premier League;29;1987;3.1;2.26;0.32;0.00;0.00;0.00;2.06;0.43;-0.19;-0.21;5.81;15.2;38.3;21.3;4.84;47.0;39.1;6.45;80.0;56.3;12.6;0.00;0.0;1.29;1.31;14.3;Matches;d822a850
80;Samir Handanovi?;si SVN;GK;Inter;it Serie A;33;1984;38.0;0.79;0.05;0.03;0.03;0.11;0.80;0.25;0.12;+0.12;3.34;7.37;45.4;21.3;6.58;18.7;26.1;8.21;41.3;35.9;14.4;0.53;3.7;0.61;0.61;14.0;Matches;74419746
81;Joe Hart;eng ENG;GK;West Ham;eng Premier League;30;1987;19.0;2.05;0.21;0.00;0.21;0.00;1.73;0.32;-0.33;-0.33;9.21;24.7;37.3;23.2;2.74;72.1;49.1;8.16;97.4;67.0;14.9;0.21;1.4;0.58;0.58;13.0;Matches;cb4f24c6
82;Tom Heaton;eng ENG;GK;Burnley;eng Premier League;31;1986;3.4;1.18;0.00;0.00;0.29;0.00;1.41;0.41;0.24;+0.23;9.12;22.6;40.3;24.7;6.47;61.9;47.2;9.41;78.1;60.7;18.2;0.59;3.2;0.59;0.59;11.2;Matches;a6de6361
83;Wayne Hennessey;wls WAL;GK;Crystal Palace;eng Premier League;30;1987;27.0;1.52;0.04;0.04;0.26;0.07;1.41;0.30;-0.03;-0.03;8.37;21.7;38.5;20.5;3.41;68.2;47.3;8.41;92.1;65.2;16.1;1.15;7.1;0.81;0.81;13.4;Matches;76eca7e2
84;Iago Herrerín;es ESP;GK;Athletic Club;es La Liga;29;1988;8.0;0.75;0.25;0.00;0.00;0.00;1.06;0.19;0.31;+0.32;11.1;24.5;45.4;27.9;3.50;61.9;43.6;8.13;89.2;61.1;16.3;0.75;4.6;1.13;1.13;14.2;Matches;9109185e
85;Marwin Hitz;ch SUI;GK;Augsburg;de Bundesliga;29;1987;32.0;1.31;0.03;0.06;0.34;0.00;1.31;0.26;0.00;0.00;8.25;17.3;47.8;27.5;4.69;45.1;37.8;8.34;58.1;44.6;13.8;0.91;6.6;0.53;0.53;12.5;Matches;2e7ff968
86;Timo Horn;de GER;GK;Köln;de Bundesliga;24;1993;34.0;2.06;0.24;0.00;0.21;0.00;1.96;0.29;-0.10;-0.10;8.88;21.9;40.5;23.1;2.47;62.9;44.1;8.79;83.9;57.3;17.4;0.74;4.2;0.91;0.91;13.7;Matches;3cd9e95a
