;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
9;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;31;1989;36.0;1.11;0.19;0.00;0.08;0.06;1.00;0.24;-0.06;-0.06;4.36;11.3;38.7;28.4;5.28;26.3;30.2;7.86;48.4;40.4;15.7;0.75;4.8;0.89;0.89;13.9;Matches;9f0ea33f
10;Emil Audero;it ITA;GK;Sampdoria;it Serie A;23;1997;37.0;1.46;0.19;0.03;0.16;0.03;1.40;0.25;-0.03;-0.03;5.76;14.7;39.2;26.6;4.86;38.2;35.0;7.00;64.1;45.3;15.2;0.32;2.1;0.92;0.92;14.8;Matches;649b01d8
11;Édgar Badía;es ESP;GK;Elche;es La Liga;28;1992;30.0;1.53;0.17;0.00;0.10;0.00;1.75;0.33;0.22;+0.22;6.93;15.1;45.9;28.8;4.80;33.0;32.7;9.50;58.9;41.4;14.8;0.27;1.8;1.03;1.03;13.9;Matches;e4346678
12;Stefan Bajic;fr FRA;GK;Saint-Étienne;fr Ligue 1;18;2001;1.0;4.00;0.00;0.00;0.00;0.00;1.60;0.39;-2.40;-2.42;4.00;16.0;25.0;30.0;9.00;33.3;35.0;7.00;85.7;47.1;17.0;0.00;0.0;0.00;0.00;7.7;Matches;be13e5a8
13;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;30;1990;31.0;1.65;0.19;0.00;0.13;0.06;1.59;0.32;0.01;+0.01;4.32;13.1;32.9;36.9;5.68;29.2;29.9;6.58;35.8;32.0;13.5;0.45;3.4;1.71;1.71;18.3;Matches;47064058
14;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;27;1993;38.0;1.39;0.18;0.03;0.29;0.00;1.34;0.25;-0.06;-0.06;2.39;7.53;31.8;24.2;4.74;21.1;27.2;7.89;30.7;32.4;15.1;0.63;4.2;0.53;0.53;13.1;Matches;8a2248b4
15;Alessandro Berardi;it ITA;GK;Hellas Verona;it Serie A;29;1991;0.3;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.00;+0.06;16.7;30.0;55.6;23.3;0.00;71.4;43.0;13.3;100.0;66.5;20.0;0.00;0.0;0.00;0.00;9.0;Matches;ec1f737d
16;Paul Bernardoni;fr FRA;GK;Angers;fr Ligue 1;23;1997;38.0;1.53;0.18;0.00;0.13;0.03;1.41;0.33;-0.09;-0.09;3.76;12.0;31.4;18.7;5.63;37.5;35.2;7.08;70.3;50.9;13.6;0.50;3.7;0.45;0.45;11.3;Matches;28dabd43
17;Dimitry Bertaud;fr FRA;GK;Montpellier;fr Ligue 1;22;1998;8.3;1.33;0.12;0.00;0.12;0.00;1.69;0.32;0.36;+0.36;11.3;21.7;52.2;27.7;5.54;47.8;39.3;9.88;85.4;55.4;17.5;0.84;4.8;0.24;0.24;10.5;Matches;380a15e2
18;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;25;1995;18.2;1.48;0.05;0.05;0.11;0.00;1.24;0.36;-0.24;-0.24;5.16;14.8;34.9;28.6;4.34;35.2;32.7;7.86;60.1;43.2;12.9;0.16;1.3;0.77;0.77;15.7;Matches;967f34d3
19;Elias Bördner;de GER;GK;Eint Frankfurt;de Bundesliga;18;2002;1.0;1.00;0.00;0.00;0.00;0.00;0.80;0.13;-0.20;-0.21;4.00;17.0;23.5;33.0;9.00;45.5;35.3;10.0;20.0;25.4;14.0;1.00;7.1;2.00;2.00;10.3;Matches;8758ddf4
20;Yassine Bounou;ma MAR;GK;Sevilla;es La Liga;29;1991;33.0;0.85;0.12;0.00;0.12;0.06;0.84;0.21;0.05;+0.05;5.03;11.5;43.6;27.1;4.45;30.5;32.0;6.06;54.0;40.7;13.6;0.79;5.8;1.03;1.03;15.0;Matches;f6798fc3
21;Claudio Bravo;cl CHI;GK;Betis;es La Liga;37;1983;20.0;1.25;0.20;0.00;0.00;0.05;1.20;0.26;0.00;0.00;5.85;16.4;35.7;25.9;4.10;47.3;38.1;6.45;64.3;48.5;14.3;0.55;3.8;0.80;0.80;13.0;Matches;10072610
22;Fabian Bredlow;de GER;GK;Stuttgart;de Bundesliga;25;1995;1.0;1.00;0.00;0.00;0.00;0.00;2.80;0.31;1.80;+1.77;2.00;10.0;20.0;30.0;6.00;30.0;29.4;9.00;11.1;25.0;31.0;1.00;3.2;0.00;0.00;8.8;Matches;d28339cb
23;Gianluigi Buffon;it ITA;GK;Juventus;it Serie A;42;1978;8.0;0.63;0.25;0.13;0.00;0.00;0.69;0.13;0.06;+0.07;3.13;7.75;40.3;30.6;5.63;20.4;27.4;7.63;19.7;25.0;15.3;0.13;0.8;1.13;1.13;15.2;Matches;e40d028b
24;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;29;1990;18.5;1.62;0.22;0.00;0.32;0.00;1.54;0.27;-0.09;-0.09;3.35;8.97;37.3;28.1;5.84;24.7;29.5;5.95;34.5;34.9;10.1;0.22;2.1;0.70;0.70;16.3;Matches;9d12e142
25;Jack Butland;eng ENG;GK;Crystal Palace;eng Premier League;27;1993;1.0;2.00;0.00;0.00;0.00;0.00;1.00;0.20;-1.00;-1.02;3.00;18.0;16.7;13.0;2.00;76.9;48.9;8.00;100.0;68.1;18.0;1.00;5.6;2.00;2.00;23.3;Matches;cc70a1d5
26;David Button;eng ENG;GK;West Brom;eng Premier League;31;1989;1.0;2.00;0.00;0.00;1.00;0.00;0.80;0.14;-1.20;-1.18;8.00;27.0;29.6;25.0;1.00;60.0;41.8;12.0;100.0;64.4;25.0;0.00;0.0;0.00;0.00;7.0;Matches;e608ed4c
27;Marcin Bu?ka;pl POL;GK;Paris S-G;fr Ligue 1;20;1999;1.0;1.00;0.00;0.00;0.00;0.00;1.50;0.50;0.50;+0.49;2.00;4.00;50.0;28.0;9.00;10.7;21.3;2.00;50.0;36.0;12.0;0.00;0.0;2.00;2.00;18.6;Matches;db87a2c4
28;Willy Caballero;ar ARG;GK;Chelsea;eng Premier League;38;1981;1.0;3.00;0.00;0.00;1.00;0.00;1.50;0.50;-1.50;-1.49;1.00;3.00;33.3;20.0;2.00;15.0;21.6;6.00;0.0;19.2;9.00;0.00;0.0;3.00;3.00;28.0;Matches;a179d516
29;Marc-Aurèle Caillard;fr FRA;GK;Metz;fr Ligue 1;26;1994;4.0;2.50;0.75;0.25;0.00;0.00;2.13;0.24;-0.38;-0.38;3.25;10.0;32.5;17.8;6.50;25.4;30.0;7.50;73.3;55.5;13.8;0.50;3.6;0.50;0.50;13.4;Matches;5ee6e943
30;Cárdenas;es ESP;GK;Levante;es La Liga;23;1997;8.0;1.38;0.00;0.00;0.00;0.00;1.40;0.29;0.03;+0.03;4.13;11.1;37.1;25.4;5.13;33.0;32.2;7.38;37.3;34.2;15.6;0.25;1.6;2.00;2.00;18.2;Matches;e1846dde
31;Scott Carson;eng ENG;GK;Manchester City;eng Premier League;34;1985;1.0;3.00;1.00;0.00;1.00;0.00;2.40;0.09;-0.60;-0.56;0.00;1.00;0.0;14.0;6.00;0.0;18.9;2.00;50.0;29.5;10.0;0.00;0.0;0.00;0.00;16.5;Matches;3e1550ee
32;Kiko Casilla;es ESP;GK;Leeds United;eng Premier League;33;1986;3.0;0.67;0.00;0.00;0.00;0.00;1.07;0.32;0.40;+0.41;1.67;4.67;35.7;22.3;6.67;10.4;23.2;10.3;22.6;24.7;10.0;1.33;13.3;0.33;0.33;10.8;Matches;58bc7d18
33;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;28;1992;32.0;1.03;0.09;0.03;0.06;0.03;1.02;0.26;0.02;+0.02;5.97;14.4;41.3;32.8;5.19;31.9;32.6;6.34;63.1;48.4;14.1;0.78;5.6;1.78;1.78;17.3;Matches;db401046
34;Sébastien Cibois;fr FRA;GK;Brest;fr Ligue 1;22;1998;3.0;1.33;0.33;0.00;0.00;0.00;1.30;0.26;-0.03;-0.04;4.67;12.0;38.9;23.0;4.00;39.1;35.8;7.33;40.9;37.5;17.0;0.33;2.0;1.00;1.00;17.4;Matches;2b9b37b2
35;Alberto Cifuentes;es ESP;GK;Cádiz;es La Liga;41;1979;2.0;1.50;0.00;0.00;0.00;0.00;1.45;0.48;-0.05;-0.05;11.0;30.0;36.7;26.5;1.50;84.9;54.1;7.50;100.0;62.9;16.0;0.00;0.0;2.00;2.00;27.0;Matches;94084f83
36;Jasper Cillessen;nl NED;GK;Valencia;es La Liga;31;1989;10.0;1.10;0.10;0.10;0.00;0.00;1.13;0.21;0.03;+0.03;6.70;18.7;35.8;22.5;4.20;55.1;41.4;9.50;66.3;52.1;17.0;0.30;1.8;1.10;1.10;19.2;Matches;04ac8285
37;Simone Colombi;it ITA;GK;Parma;it Serie A;29;1991;2.0;3.50;0.50;0.00;1.00;0.00;2.20;0.35;-1.30;-1.28;8.50;15.0;56.7;20.5;3.00;53.7;37.5;5.50;72.7;49.4;13.5;0.00;0.0;0.00;0.00;7.5;Matches;72be9309
38;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;33;1987;37.0;1.51;0.11;0.00;0.11;0.03;1.45;0.27;-0.04;-0.04;3.19;8.62;37.0;30.1;4.65;24.0;27.7;6.49;21.7;24.1;13.9;0.70;5.1;0.92;0.92;15.1;Matches;8cabdc1e
39;Alex Cordaz;it ITA;GK;Crotone;it Serie A;37;1983;36.0;2.53;0.14;0.06;0.25;0.06;2.00;0.33;-0.47;-0.47;5.42;13.9;38.8;31.5;4.56;33.5;31.8;8.50;39.9;33.2;15.4;0.50;3.2;1.00;1.00;15.1;Matches;e66ebabb
40;Angelo da Costa Júnior;br BRA;GK;Bologna;it Serie A;36;1983;6.0;1.50;0.17;0.17;0.00;0.00;1.43;0.33;-0.07;-0.06;4.50;8.83;50.9;40.0;4.00;17.9;27.6;7.17;23.3;26.3;14.3;0.83;5.8;1.67;1.67;15.0;Matches;18736214
41;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;33;1987;38.0;1.47;0.18;0.05;0.16;0.03;1.27;0.26;-0.18;-0.18;6.95;16.1;43.3;27.2;3.79;40.0;35.3;7.68;67.1;47.6;14.7;0.42;2.9;0.79;0.79;13.2;Matches;2434f24a
42;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;28;1992;38.0;0.74;0.18;0.00;0.08;0.03;0.86;0.22;0.15;+0.15;2.34;7.89;29.7;28.6;6.39;20.6;29.6;6.18;32.3;36.6;12.4;0.68;5.5;1.16;1.16;15.7;Matches;1840e36d
43;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;26;1994;34.0;1.56;0.15;0.03;0.21;0.00;1.59;0.27;0.04;+0.03;5.15;12.6;40.8;20.2;4.09;39.1;33.5;8.06;58.4;42.0;15.6;0.56;3.6;0.65;0.65;14.2;Matches;f554e29b
44;Gian Crespi;it ITA;GK;Crotone;it Serie A;19;2001;1.0;0.00;0.00;0.00;0.00;0.00;0.40;0.44;0.40;+0.44;7.00;11.0;63.6;29.0;4.00;27.6;26.3;11.0;27.3;28.0;14.0;0.00;0.0;1.00;1.00;18.7;Matches;4dea2f2c
45;Finn Dahmen;de GER;GK;Mainz 05;de Bundesliga;22;1998;3.0;3.33;0.33;0.00;0.33;0.00;2.87;0.38;-0.47;-0.47;1.33;6.33;21.1;19.7;5.33;27.1;29.6;9.00;11.1;23.7;16.3;1.00;6.1;1.33;1.33;11.9;Matches;dee3013b
46;Karl Darlow;eng ENG;GK;Newcastle Utd;eng Premier League;29;1990;25.0;1.72;0.12;0.04;0.16;0.08;1.49;0.27;-0.15;-0.15;7.00;20.2;34.7;20.2;3.68;65.3;44.9;8.64;81.5;55.3;16.0;0.72;4.5;0.40;0.40;9.2;Matches;cde3309f
47;Yehvann Diouf;fr FRA;GK;Reims;fr Ligue 1;20;1999;1.5;0.67;0.67;0.00;0.00;0.00;1.00;0.08;0.33;+0.32;3.33;10.0;33.3;26.7;8.67;25.0;29.1;8.00;41.7;36.3;16.0;0.00;0.0;2.00;2.00;17.8;Matches;eedea60b
48;Marko Dmitrovi?;rs SRB;GK;Eibar;es La Liga;28;1992;34.7;1.41;0.09;0.00;0.14;0.00;1.31;0.32;-0.11;-0.11;8.82;22.4;39.3;24.1;2.82;67.7;49.0;6.71;91.0;68.3;11.2;0.40;3.6;1.38;1.38;17.5;Matches;ac295d9e
49;Jaume Doménech;es ESP;GK;Valencia;es La Liga;29;1990;28.0;1.50;0.14;0.07;0.18;0.07;1.32;0.25;-0.11;-0.11;8.00;17.0;47.0;23.1;3.68;47.1;36.6;8.68;71.2;49.7;17.3;0.29;1.6;0.71;0.71;13.4;Matches;c9cb972b
50;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;21;1999;37.0;1.03;0.05;0.05;0.16;0.03;0.96;0.27;-0.04;-0.04;4.11;9.86;41.6;27.6;4.00;27.3;29.0;5.59;41.5;33.7;15.0;0.78;5.2;1.16;1.16;14.8;Matches;08f5afaa
51;Bart?omiej Dr?gowski;pl POL;GK;Fiorentina;it Serie A;22;1997;35.0;1.57;0.23;0.03;0.29;0.03;1.61;0.33;0.06;+0.06;5.14;14.2;36.3;22.5;4.57;44.9;37.9;7.43;54.6;43.6;13.9;0.69;4.9;0.77;0.77;13.3;Matches;085e71a7
52;Matthieu Dreyer;fr FRA;GK;Lorient;fr Ligue 1;31;1989;15.0;1.67;0.40;0.07;0.20;0.07;1.37;0.28;-0.23;-0.22;4.73;12.5;37.8;16.6;2.93;45.4;37.1;7.20;69.4;46.1;13.6;0.07;0.5;0.40;0.40;12.1;Matches;fbf83734
53;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;31;1989;13.0;1.46;0.08;0.00;0.00;0.08;1.28;0.25;-0.11;-0.11;5.38;12.8;42.2;24.3;5.15;32.9;32.5;9.38;50.8;40.5;18.8;0.69;3.7;0.85;0.85;12.6;Matches;3a949a25
54;Ederson;br BRA;GK;Manchester City;eng Premier League;26;1993;36.0;0.78;0.19;0.00;0.06;0.03;0.79;0.23;0.04;+0.05;3.00;7.39;40.6;26.9;4.47;20.6;28.4;4.25;43.8;39.3;8.58;0.53;6.1;1.22;1.22;16.6;Matches;3bb7b8b4
55;Aarón Escandell;es ESP;GK;Granada;es La Liga;24;1995;5.0;1.60;0.00;0.00;0.00;0.00;2.04;0.44;0.44;+0.44;7.40;22.2;33.3;25.0;2.60;67.2;46.5;6.60;81.8;60.5;13.0;0.40;3.1;2.20;2.20;18.0;Matches;67669ce7
56;Jokin Ezkieta;es ESP;GK;Athletic Club;es La Liga;23;1996;1.0;2.00;0.00;0.00;0.00;0.00;1.50;0.48;-0.50;-0.55;1.00;4.00;25.0;18.0;6.00;11.1;26.2;7.00;28.6;30.4;16.0;0.00;0.0;2.00;2.00;30.5;Matches;0f7dbaf6
57;?ukasz Fabia?ski;pl POL;GK;West Ham;eng Premier League;35;1985;35.0;1.26;0.09;0.00;0.11;0.11;1.17;0.27;0.02;+0.02;6.80;17.4;39.1;21.1;4.40;54.9;40.4;7.77;75.0;51.9;14.7;0.74;5.0;0.43;0.43;10.8;Matches;9328b835
58;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;31;1988;20.8;2.40;0.14;0.05;0.38;0.10;2.00;0.28;-0.31;-0.31;4.38;16.8;26.0;30.7;5.72;35.9;33.5;8.80;66.1;46.5;18.0;0.58;3.2;0.96;0.96;12.6;Matches;1e43fad8
59;Wuilker Faríñez;ve VEN;GK;Lens;fr Ligue 1;22;1998;1.2;2.50;0.83;0.00;0.83;0.00;2.92;0.36;0.42;+0.41;2.50;10.8;23.1;15.8;5.00;52.6;39.4;7.50;33.3;29.6;11.7;0.00;0.0;2.50;2.52;21.8;Matches;2c127b6f
60;Aitor Fernández;es ESP;GK;Levante;es La Liga;29;1991;29.0;1.52;0.10;0.03;0.21;0.07;1.26;0.29;-0.19;-0.19;3.45;9.69;35.6;24.9;5.28;31.8;32.8;7.10;25.2;28.1;13.7;0.21;1.5;1.86;1.86;17.7;Matches;a01c3d54
61;Álvaro Fernández;es ESP;GK;Huesca;es La Liga;22;1998;22.0;1.45;0.09;0.00;0.32;0.05;1.37;0.30;-0.04;-0.04;4.91;12.5;39.1;28.9;5.18;33.4;34.1;7.86;37.0;37.2;12.8;0.55;4.3;1.05;1.05;15.4;Matches;f127d782
62;Andrés Fernández;es ESP;GK;Huesca;es La Liga;33;1986;16.0;1.31;0.19;0.06;0.19;0.06;1.14;0.28;-0.11;-0.12;5.00;14.5;34.5;27.9;4.56;38.7;34.2;7.50;49.2;40.5;16.1;0.25;1.6;0.69;0.69;13.4;Matches;307fcd26
63;Marco Festa;it ITA;GK;Crotone;it Serie A;28;1992;1.0;1.00;0.00;0.00;0.00;0.00;0.90;0.11;-0.10;-0.10;8.00;13.0;61.5;26.0;9.00;30.8;31.1;10.0;50.0;36.7;20.0;0.00;0.0;1.00;1.00;11.5;Matches;c195ae4a
64;Mark Flekken;nl NED;GK;Freiburg;de Bundesliga;27;1993;3.0;2.00;0.67;0.00;0.00;0.00;2.43;0.34;0.43;+0.42;9.67;19.7;49.2;32.0;3.33;38.5;37.1;9.00;81.5;61.9;18.3;0.00;0.0;0.67;0.67;11.9;Matches;a92ab7be
65;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;32;1988;8.0;1.38;0.25;0.00;0.13;0.00;1.23;0.23;-0.15;-0.16;3.75;16.8;22.4;25.9;3.50;44.0;35.3;8.00;67.2;44.2;17.8;0.75;4.2;1.75;1.75;15.6;Matches;c3e39f12
66;Daniel Fuzato;br BRA;GK;Roma;it Serie A;23;1997;5.0;1.40;0.00;0.00;0.20;0.00;1.12;0.22;-0.28;-0.27;3.40;10.2;33.3;24.4;6.20;32.8;34.1;6.00;36.7;37.2;10.0;0.80;8.0;0.40;0.40;11.5;Matches;82328faf
67;Manuel Gasparini;it ITA;GK;Udinese;it Serie A;18;2002;0.0;0;0;0;0;0;0.0;;0.0;0.00;1;1;100.0;1;0;100.0;44.0;1;0.0;15.0;0;0;;0;0.00;;Matches;7033ca08
68;Paulo Gazzaniga;ar ARG;GK;Elche;es La Liga;28;1992;8.0;1.13;0.13;0.00;0.38;0.13;0.79;0.24;-0.21;-0.21;7.38;18.9;39.1;22.5;3.00;55.0;45.0;7.88;82.5;62.5;11.6;0.25;2.2;0.38;0.38;12.4;Matches;63d17038
69;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;29;1990;25.5;1.25;0.16;0.04;0.20;0.08;1.10;0.27;-0.07;-0.08;2.63;6.82;38.5;16.4;3.45;28.1;29.7;6.75;33.1;29.1;12.2;0.08;0.6;1.10;1.10;16.8;Matches;7ba6d84e
70;Rafa? Gikiewicz;pl POL;GK;Augsburg;de Bundesliga;32;1987;34.0;1.59;0.18;0.00;0.06;0.09;1.56;0.26;0.06;+0.07;5.68;16.6;34.2;32.0;6.29;36.6;34.1;8.74;56.2;44.7;18.2;0.97;5.3;1.06;1.06;16.0;Matches;17376543
71;David Gil;es ESP;GK;Cádiz;es La Liga;26;1994;4.0;2.50;0.25;0.00;0.25;0.00;1.52;0.30;-0.97;-0.96;8.00;26.0;30.8;21.3;2.25;80.0;52.2;9.25;97.3;64.4;15.5;0.50;3.2;0.25;0.25;9.0;Matches;fea23125
72;Pierluigi Gollini;it ITA;GK;Atalanta;it Serie A;25;1995;24.0;1.08;0.17;0.00;0.13;0.04;1.04;0.29;-0.00;0.00;3.83;9.67;39.7;22.9;3.63;28.7;32.6;4.83;63.8;49.7;9.75;0.25;2.6;1.63;1.63;17.4;Matches;f0f7f62f
73;Alfred Gomis;sn SEN;GK;Dijon;fr Ligue 1;26;1993;5.0;2.00;0.60;0.00;0.20;0.20;2.36;0.29;0.56;+0.55;5.80;18.0;32.2;24.4;6.20;39.3;36.7;13.0;64.6;49.2;24.4;1.40;5.7;1.40;1.40;12.3;Matches;cecbce23
74;Alfred Gomis;sn SEN;GK;Rennes;fr Ligue 1;26;1993;22.0;1.14;0.14;0.00;0.00;0.05;0.99;0.25;-0.10;-0.10;3.68;9.27;39.7;24.2;5.14;25.8;28.6;5.91;51.5;41.2;10.1;0.32;3.2;1.59;1.59;18.7;Matches;cecbce23
75;Etienne Green;eng ENG;GK;Saint-Étienne;fr Ligue 1;20;2000;8.0;1.00;0.25;0.13;0.00;0.00;1.36;0.28;0.36;+0.36;5.75;16.0;35.9;18.6;3.75;51.0;38.5;8.63;75.4;54.9;14.9;0.63;4.2;0.88;0.88;14.8;Matches;667b65da
76;Lennart Grill;de GER;GK;Leverkusen;de Bundesliga;21;1999;4.0;1.75;0.00;0.00;0.00;0.00;1.98;0.38;0.23;+0.24;2.00;5.75;34.8;34.0;6.50;15.4;24.6;6.25;8.0;22.6;9.75;0.25;2.6;1.75;1.75;17.4;Matches;37998008
77;Vicente Guaita;es ESP;GK;Crystal Palace;eng Premier League;33;1987;37.0;1.73;0.08;0.03;0.24;0.00;1.36;0.28;-0.37;-0.37;6.03;17.6;34.3;20.6;4.22;50.5;38.5;8.51;84.4;56.0;16.3;0.51;3.1;0.65;0.65;13.3;Matches;ab13a5aa
78;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;30;1990;33.0;0.91;0.09;0.00;0.03;0.00;0.81;0.30;-0.10;-0.10;2.91;6.73;43.2;30.4;5.21;19.1;27.7;5.09;17.9;25.7;9.55;0.45;4.8;1.97;1.97;19.7;Matches;bcb2ccd8
79;Samir Handanovi?;si SVN;GK;Inter;it Serie A;36;1984;36.0;0.92;0.11;0.03;0.08;0.03;0.88;0.24;-0.01;-0.01;2.53;5.56;45.5;25.3;4.42;17.0;26.7;4.64;26.9;30.8;12.3;0.36;2.9;0.61;0.61;14.9;Matches;74419746
80;Dean Henderson;eng ENG;GK;Manchester Utd;eng Premier League;23;1997;12.5;0.96;0.00;0.00;0.32;0.00;0.90;0.23;-0.06;-0.06;1.52;7.36;20.7;18.4;5.28;28.3;30.9;7.52;28.7;30.0;13.5;0.72;5.3;1.52;1.52;17.4;Matches;e5a76dfe
81;Sergio Herrera;es ESP;GK;Osasuna;es La Liga;27;1993;32.9;1.22;0.12;0.00;0.15;0.06;1.20;0.28;0.05;+0.05;11.8;27.1;43.7;27.1;2.49;72.5;48.0;7.87;94.2;61.1;16.2;0.88;5.4;2.10;2.10;17.5;Matches;a4995f48
82;Marwin Hitz;ch SUI;GK;Dortmund;de Bundesliga;32;1987;15.5;1.03;0.13;0.00;0.06;0.06;0.97;0.30;0.01;0.00;4.84;10.0;48.4;27.5;4.58;23.9;29.1;7.94;43.1;39.5;11.4;0.52;4.5;0.52;0.52;12.1;Matches;2e7ff968
83;Timo Horn;de GER;GK;Köln;de Bundesliga;27;1993;33.4;1.77;0.21;0.03;0.15;0.00;1.61;0.30;-0.16;-0.16;7.01;15.9;44.2;33.2;3.59;39.4;35.5;6.62;42.1;37.1;14.0;0.42;3.0;0.90;0.90;15.2;Matches;3cd9e95a
84;Lukáš Hrádecký;fi FIN;GK;Leverkusen;de Bundesliga;30;1989;28.5;1.02;0.04;0.04;0.00;0.07;0.93;0.31;-0.01;-0.01;5.23;14.7;35.6;42.4;6.28;29.7;31.5;6.32;33.3;32.8;11.3;0.70;6.2;2.04;2.04;18.2;Matches;ad3389d5
85;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;35;1984;8.0;1.63;0.13;0.00;0.25;0.13;1.00;0.18;-0.50;-0.50;6.88;17.6;39.0;26.1;3.38;46.4;38.7;9.13;60.3;45.8;15.5;0.25;1.6;0.38;0.38;12.0;Matches;27d2618c
86;Sam Johnstone;eng ENG;GK;West Brom;eng Premier League;27;1993;37.0;2.00;0.19;0.05;0.19;0.08;1.82;0.26;-0.10;-0.10;7.92;24.0;33.0;26.9;4.92;63.8;45.0;8.00;86.1;56.8;17.4;0.54;3.1;1.03;1.03;14.0;Matches;9e5708be
