;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
9;Édgar Badía;es ESP;GK;Elche;es La Liga;31-028;1992;25.0;1.96;0.28;0.00;0.16;0.04;2.23;0.32;0.35;+0.36;5.64;12.7;44.3;19.5;4.20;40.8;36.7;7.56;63.0;45.9;14.6;0.68;4.7;0.20;0.21;10.6;Matches;e4346678
10;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;32-283;1990;23.0;1.83;0.04;0.04;0.35;0.04;1.56;0.31;-0.23;-0.23;4.78;12.3;38.7;37.2;5.70;29.3;30.8;6.22;23.1;27.2;13.7;1.43;10.4;1.39;1.39;13.6;Matches;47064058
11;Gavin Bazunu;ie IRL;GK;Southampton;eng Premier League;21-020;2002;25.0;1.64;0.00;0.04;0.20;0.16;1.04;0.27;-0.44;-0.45;7.36;21.1;34.8;29.6;4.60;53.3;39.3;7.40;71.9;52.8;14.4;1.20;8.4;1.44;1.44;14.6;Matches;c91441dc
12;Asmir Begovi?;ba BIH;GK;Everton;eng Premier League;35-265;1987;1.0;0.00;0.00;0.00;0.00;0.00;0.50;0.12;0.50;+0.49;4.00;13.0;30.8;22.0;5.00;36.4;34.9;8.00;62.5;46.8;23.0;1.00;4.3;0.00;0.00;5.0;Matches;7b4de647
13;Paul Bernardoni;fr FRA;GK;Angers;fr Ligue 1;25-328;1997;18.0;2.39;0.28;0.06;0.33;0.11;2.01;0.33;-0.27;-0.27;3.17;9.22;34.3;18.4;4.78;31.7;31.6;7.06;48.0;39.6;13.4;0.94;7.0;0.67;0.67;11.5;Matches;28dabd43
14;Marco Bizot;nl NED;GK;Brest;fr Ligue 1;32-002;1991;26.0;1.69;0.19;0.00;0.31;0.08;1.63;0.28;0.10;+0.10;4.81;12.2;39.6;20.0;4.00;39.7;35.8;7.58;55.8;43.1;14.8;0.54;3.6;0.62;0.64;11.3;Matches;3d214e5f
15;Rubén Blanco;es ESP;GK;Marseille;fr Ligue 1;27-230;1995;4.0;1.25;0.00;0.00;0.25;0.50;0.72;0.18;-0.03;-0.02;2.75;10.3;26.8;29.3;5.25;23.9;28.6;9.00;36.1;33.3;14.0;0.00;0.0;1.00;1.00;20.3;Matches;967f34d3
16;Janis Blaswich;de GER;GK;RB Leipzig;de Bundesliga;31-314;1991;17.0;1.12;0.29;0.00;0.12;0.00;1.05;0.28;-0.06;-0.07;2.24;6.18;36.2;33.6;4.29;14.9;25.1;5.18;22.7;27.2;11.1;0.65;5.9;1.18;1.25;16.3;Matches;663e080e
17;Joaquín Blázquez;ar ARG;GK;Brest;fr Ligue 1;22-043;2001;1.0;0.00;0.00;0.00;0.00;0.00;0.20;0.06;0.20;+0.17;8.00;13.0;61.5;18.0;3.00;61.1;45.7;11.0;18.2;26.3;11.0;2.00;18.2;0.00;0.00;3.5;Matches;6a9e4913
18;Yassine Bounou;ma MAR;GK;Sevilla;es La Liga;31-341;1991;21.5;1.67;0.09;0.00;0.14;0.09;1.61;0.33;0.03;+0.03;4.33;12.1;35.6;32.9;3.91;27.3;30.9;6.65;47.6;40.4;13.2;0.88;6.7;1.63;1.63;17.3;Matches;f6798fc3
19;Claudio Bravo;cl CHI;GK;Betis;es La Liga;39-333;1983;6.0;0.83;0.17;0.00;0.00;0.00;0.80;0.19;-0.03;-0.04;4.67;16.0;29.2;22.0;3.83;47.0;38.0;8.00;70.8;51.0;15.7;0.33;2.1;0.67;0.67;13.6;Matches;10072610
20;Fabian Bredlow;de GER;GK;Stuttgart;de Bundesliga;28-010;1995;5.0;1.40;0.40;0.00;0.00;0.00;1.20;0.19;0.00;-0.01;2.80;5.80;48.3;30.2;6.60;17.9;27.2;3.20;12.5;27.6;12.4;0.60;4.8;1.20;1.50;13.6;Matches;d28339cb
21;Marcin Bu?ka;pl POL;GK;Nice;fr Ligue 1;23-159;1999;2.0;1.00;0.00;0.00;0.00;0.00;1.55;0.52;0.55;+0.56;4.00;10.0;40.0;24.5;5.50;20.4;28.1;9.00;55.6;44.2;13.0;1.00;7.7;1.50;1.50;13.8;Matches;db87a2c4
22;Juan Carlos;es ESP;GK;Girona;es La Liga;35-051;1988;10.0;1.80;0.20;0.20;0.10;0.00;1.67;0.35;-0.13;-0.13;2.30;6.40;35.9;27.8;5.10;17.6;28.7;6.20;24.2;30.3;12.0;0.60;5.0;2.10;2.10;16.9;Matches;688b96e3
23;Marco Carnesecchi;it ITA;GK;Cremonese;it Serie A;22-254;2000;16.0;1.69;0.13;0.13;0.25;0.06;1.63;0.28;0.00;0.00;5.13;17.3;29.6;25.3;5.31;50.0;40.4;7.50;62.5;50.3;13.5;1.00;7.4;0.75;0.75;13.3;Matches;8ec56e62
24;Matis Carvalho;pt POR;GK;Montpellier;fr Ligue 1;23-318;1999;1.5;2.00;0.00;0.00;0.00;0.00;1.27;0.24;-0.73;-0.70;9.33;28.7;32.6;25.3;2.67;78.9;49.4;9.33;92.9;61.4;25.3;1.33;5.3;0.00;0.00;8.3;Matches;8608f269
25;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;30-260;1992;23.0;1.35;0.13;0.00;0.17;0.04;1.23;0.25;-0.07;-0.07;7.74;17.5;44.3;37.6;5.30;33.9;34.0;8.65;54.8;46.5;14.7;0.87;5.9;1.35;1.35;16.5;Matches;db401046
26;Leonardo César Jardim;br BRA;GK;Lille;fr Ligue 1;27-357;1995;6.0;2.17;0.33;;;;;;;;;;;;;;;;;;;;;;;;Matches;f5dfc256
27;Lucas Chevalier;fr FRA;GK;Lille;fr Ligue 1;21-126;2001;21.0;1.10;0.05;0.10;0.05;0.14;0.91;0.25;0.10;+0.11;1.95;8.10;24.1;27.5;3.81;24.6;29.0;3.19;41.8;36.0;10.0;0.86;8.5;0.57;0.60;12.0;Matches;b3d76d84
28;Oliver Christensen;dk DEN;GK;Hertha BSC;de Bundesliga;23-355;1999;24.0;1.88;0.13;0.08;0.25;0.00;1.47;0.33;-0.36;-0.37;5.75;15.9;36.2;28.8;5.17;40.1;34.8;6.50;66.7;51.3;13.1;1.04;7.9;2.25;2.35;18.9;Matches;af104654
29;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;36-044;1987;23.0;1.48;0.13;0.00;0.13;0.00;1.17;0.33;-0.31;-0.31;5.43;13.3;40.7;34.3;5.48;30.0;33.9;9.22;33.0;33.7;14.0;0.83;5.9;1.00;1.00;14.5;Matches;8cabdc1e
30;Benoît Costil;fr FRA;GK;Auxerre;fr Ligue 1;35-252;1987;19.0;2.16;0.16;0.00;0.16;0.00;1.79;0.33;-0.37;-0.37;6.95;15.4;45.2;23.9;3.79;41.9;36.8;7.21;74.5;51.7;15.0;0.16;1.1;0.58;0.58;13.1;Matches;2434f24a
31;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;30-305;1992;19.0;0.84;0.21;0.00;0.05;0.00;0.76;0.17;-0.03;-0.03;2.89;7.05;41.0;29.3;5.74;19.8;28.2;4.53;27.9;32.7;11.3;1.11;9.8;1.16;1.22;14.7;Matches;1840e36d
32;Alessio Cragno;it ITA;GK;Monza;it Serie A;28-257;1994;1.0;3.00;0.00;0.00;0.00;0.00;1.80;0.36;-1.20;-1.22;2.00;4.00;50.0;25.0;4.00;12.0;23.1;6.00;16.7;33.3;7.00;0.00;0.0;2.00;2.00;25.3;Matches;f554e29b
33;Finn Dahmen;de GER;GK;Mainz 05;de Bundesliga;24-350;1998;6.0;1.67;0.17;0.00;0.33;0.00;1.60;0.29;-0.07;-0.07;6.67;17.3;38.5;26.7;3.83;45.0;37.1;6.67;80.0;54.3;17.0;1.67;9.8;1.17;1.17;16.5;Matches;dee3013b
34;Rémy Descamps;fr FRA;GK;Nantes;fr Ligue 1;26-260;1996;1.0;1.00;0.00;0.00;0.00;0.00;1.50;0.25;0.50;+0.48;5.00;9.00;55.6;20.0;9.00;25.0;33.2;6.00;66.7;46.5;11.0;1.00;9.1;0.00;0.00;7.0;Matches;477e50ce
35;Michele Di Gregorio;it ITA;GK;Monza;it Serie A;25-228;1997;24.0;1.33;0.00;0.00;0.13;0.04;1.39;0.33;0.10;+0.09;4.33;12.7;34.2;32.8;6.25;31.6;33.0;6.25;36.7;34.1;14.1;0.46;3.2;0.67;0.67;12.2;Matches;4e0c8d66
36;Mory Diaw;sn SEN;GK;Clermont Foot;fr Ligue 1;29-263;1993;26.0;1.31;0.27;0.00;0.12;0.00;1.50;0.28;0.19;+0.19;6.19;15.9;38.9;30.8;4.88;40.9;37.4;7.35;45.0;39.4;12.7;0.92;7.3;0.69;0.69;11.9;Matches;f41a69e6
37;Stole Dimitrievski;mk MKD;GK;Rayo Vallecano;es La Liga;29-077;1993;24.0;1.04;0.13;0.00;0.13;0.08;1.07;0.29;0.23;+0.24;3.88;13.9;27.9;21.8;5.50;44.1;38.3;7.75;55.4;45.4;13.6;0.71;5.2;1.46;1.52;16.5;Matches;fc70e345
38;Yehvann Diouf;fr FRA;GK;Reims;fr Ligue 1;23-116;1999;19.0;0.63;0.00;0.00;0.05;0.00;0.99;0.25;0.36;+0.36;4.16;10.0;41.6;26.2;6.00;30.0;32.7;6.47;33.3;35.2;14.9;1.47;9.9;1.00;1.00;13.1;Matches;eedea60b
39;Marko Dmitrovi?;rs SRB;GK;Sevilla;es La Liga;31-047;1992;2.5;1.20;0.00;0.00;0.00;0.00;1.04;0.20;-0.16;-0.17;6.00;16.0;37.5;32.4;5.20;37.0;37.4;7.20;55.6;51.0;14.0;2.40;17.1;1.20;1.20;11.1;Matches;ac295d9e
40;Gianluigi Donnarumma;it ITA;GK;Paris S-G;fr Ligue 1;24-015;1999;27.0;0.96;0.04;0.04;0.11;0.04;1.01;0.25;0.13;+0.13;1.44;4.22;34.2;19.7;4.37;15.0;23.6;5.19;24.3;26.6;10.0;0.93;9.2;0.81;0.85;13.5;Matches;08f5afaa
41;Bart?omiej Dr?gowski;pl POL;GK;Spezia;it Serie A;25-205;1997;22.7;1.63;0.09;0.04;0.18;0.00;1.39;0.26;-0.20;-0.21;4.49;13.6;33.0;26.5;4.63;38.1;34.1;5.95;59.3;46.1;13.5;0.44;3.3;1.10;1.15;14.7;Matches;085e71a7
42;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;34-056;1989;0.7;0.00;0.00;0.00;0.00;0.00;1.57;0.21;1.57;+1.42;4.29;8.57;50.0;22.9;11.4;18.8;21.1;8.57;50.0;30.0;18.6;1.43;7.7;0.00;0.00;12.5;Matches;3a949a25
43;Maxime Dupé;fr FRA;GK;Toulouse;fr Ligue 1;30-008;1993;26.0;1.77;0.12;0.08;0.23;0.08;1.57;0.28;-0.13;-0.13;3.92;9.85;39.8;27.0;4.62;25.5;30.0;6.73;44.0;37.1;13.4;0.92;6.9;0.65;0.65;10.5;Matches;0e12089d
44;Ederson;br BRA;GK;Manchester City;eng Premier League;29-207;1993;27.0;0.93;0.11;0.04;0.07;0.04;0.74;0.28;-0.15;-0.16;3.11;7.22;43.1;29.7;4.26;19.9;28.2;4.41;30.3;32.9;7.85;0.70;9.0;1.07;1.12;15.6;Matches;3bb7b8b4
45;?ukasz Fabia?ski;pl POL;GK;West Ham;eng Premier League;37-328;1985;22.6;1.19;0.04;0.00;0.00;0.04;1.20;0.27;0.05;+0.05;5.35;14.4;37.2;19.8;4.73;51.9;39.3;6.77;60.8;45.3;14.3;0.93;6.5;0.53;0.53;11.8;Matches;9328b835
46;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;34-166;1988;7.0;0.43;0.00;0.00;0.00;0.00;0.40;0.15;0.26;+0.31;7.29;15.4;47.2;28.4;3.14;39.2;35.0;6.00;71.4;49.9;14.1;1.00;7.1;0.43;0.50;10.3;Matches;1e43fad8
47;Wladimiro Falcone;it ITA;GK;Lecce;it Serie A;27-334;1995;25.0;1.16;0.16;0.04;0.20;0.04;1.22;0.24;0.10;+0.11;5.12;20.0;25.5;24.6;3.92;56.6;42.1;7.84;78.1;52.9;15.1;0.76;5.0;0.96;0.96;12.7;Matches;9f5a610b
48;Aitor Fernández;es ESP;GK;Osasuna;es La Liga;31-313;1991;13.0;0.77;0.00;0.00;0.00;0.00;0.90;0.27;0.13;+0.13;8.31;19.8;41.9;29.4;5.15;50.3;40.8;7.46;68.0;51.3;14.3;0.77;5.4;1.54;1.54;14.9;Matches;a01c3d54
49;Álvaro Fernández;es ESP;GK;Espanyol;es La Liga;24-333;1998;11.0;1.64;0.00;0.00;0.36;0.09;1.38;0.31;-0.16;-0.16;9.55;20.1;47.5;23.0;3.36;55.7;42.5;9.36;77.7;54.8;13.9;0.45;3.3;1.36;1.36;16.3;Matches;f127d782
50;Fernando;es ESP;GK;Almería;es La Liga;32-275;1990;22.5;1.69;0.09;0.04;0.09;0.04;1.80;0.30;0.15;+0.15;5.11;14.8;34.6;27.8;5.64;37.4;36.6;8.76;49.7;42.0;15.6;0.89;5.7;0.76;0.76;13.7;Matches;dabb2827
51;Mark Flekken;nl NED;GK;Freiburg;de Bundesliga;29-272;1993;23.0;1.39;0.22;0.00;0.17;0.00;1.38;0.26;-0.01;-0.01;8.00;18.4;43.5;34.7;3.30;39.3;37.2;6.39;74.1;58.4;12.3;0.74;6.0;1.22;1.22;15.1;Matches;a92ab7be
52;Yahia Fofana;fr FRA;GK;Angers;fr Ligue 1;22-203;2000;8.0;1.88;0.13;0.00;0.25;0.13;1.64;0.28;-0.11;-0.12;3.25;11.4;28.6;23.8;6.13;34.2;33.3;6.63;49.1;41.0;13.1;1.38;10.5;0.63;0.63;12.0;Matches;9d420dad
53;Fraser Forster;eng ENG;GK;Tottenham;eng Premier League;34-360;1988;6.0;1.33;0.00;0.00;0.33;0.00;0.88;0.30;-0.28;-0.34;1.67;5.17;32.3;15.8;4.67;23.2;28.5;4.67;32.1;29.5;9.00;0.17;1.9;1.50;1.80;21.4;Matches;c3e39f12
54;Gauthier Gallon;fr FRA;GK;Troyes;fr Ligue 1;29-323;1993;19.0;2.26;0.21;0.00;0.32;0.11;1.82;0.31;-0.34;-0.34;2.79;12.1;23.1;22.6;3.79;34.0;32.7;7.63;57.2;42.0;16.0;1.00;6.3;0.37;0.37;10.0;Matches;db3164e1
55;Paulo Gazzaniga;ar ARG;GK;Girona;es La Liga;31-069;1992;14.0;1.43;0.14;0.00;0.14;0.00;1.62;0.32;0.19;+0.19;5.86;14.7;39.8;29.3;5.21;32.4;33.1;8.71;59.8;47.7;17.4;1.50;8.6;1.57;1.57;15.3;Matches;63d17038
56;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;32-125;1990;25.0;1.40;0.04;0.08;0.20;0.04;1.19;0.29;-0.17;-0.17;3.48;11.3;30.7;26.4;3.56;32.3;31.7;4.56;61.4;46.2;14.5;0.36;2.5;0.80;0.80;14.9;Matches;7ba6d84e
57;Rafa? Gikiewicz;pl POL;GK;Augsburg;de Bundesliga;35-137;1987;20.0;1.75;0.00;0.05;0.15;0.00;1.59;0.27;0.09;+0.10;7.95;19.1;41.7;37.5;5.50;34.4;33.6;9.50;64.7;49.7;14.1;0.90;6.4;2.00;2.11;17.0;Matches;17376543
58;Pierluigi Gollini;it ITA;GK;Fiorentina;it Serie A;27-359;1995;3.0;0.67;0.00;0.00;0.33;0.00;0.57;0.21;-0.10;-0.10;4.33;12.7;34.2;38.3;5.67;27.0;32.4;3.67;63.6;49.3;8.00;0.33;4.2;0.00;0.00;9.3;Matches;f0f7f62f
59;Pierluigi Gollini;it ITA;GK;Napoli;it Serie A;27-359;1995;1.0;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;Matches;f0f7f62f
60;Ivo Grbi?;hr CRO;GK;Atlético Madrid;es La Liga;27-053;1996;2.3;0.87;0.43;0.00;0.43;0.00;1.17;0.19;0.30;+0.31;5.22;23.9;21.8;27.8;3.48;51.6;40.3;10.0;95.7;67.0;18.7;3.04;16.3;0.00;0.00;5.5;Matches;3f034750
61;Lennart Grill;de GER;GK;Union Berlin;de Bundesliga;24-046;1999;4.0;2.75;0.50;0.00;0.25;0.00;1.88;0.31;-0.88;-0.87;9.75;21.5;45.3;40.5;6.00;46.9;36.6;2.75;90.9;60.6;8.50;1.75;20.6;1.25;1.25;15.8;Matches;37998008
62;Vicente Guaita;es ESP;GK;Crystal Palace;eng Premier League;36-061;1987;26.0;1.27;0.08;0.00;0.15;0.08;1.15;0.27;-0.00;-0.01;4.23;11.9;35.5;22.8;4.92;36.3;33.0;7.50;48.7;37.4;15.1;0.96;6.4;1.00;1.04;13.2;Matches;ab13a5aa
63;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;32-310;1990;6.0;1.67;0.17;0.00;0.33;0.17;1.68;0.37;0.18;+0.19;1.83;6.17;29.7;29.8;6.17;15.6;26.4;6.00;25.0;29.6;10.2;0.50;4.9;1.67;1.67;19.4;Matches;bcb2ccd8
64;Samir Handanovi?;si SVN;GK;Inter;it Serie A;38-241;1984;10.0;1.60;0.10;0.00;0.10;0.10;1.07;0.29;-0.23;-0.25;2.90;5.80;50.0;29.0;4.80;18.3;26.3;5.20;9.6;25.8;9.20;0.20;2.2;0.50;0.56;14.5;Matches;74419746
65;Dean Henderson;eng ENG;GK;Nott'ham Forest;eng Premier League;26-000;1997;18.0;1.72;0.11;0.06;0.28;0.00;1.49;0.28;-0.23;-0.23;6.00;18.6;32.3;28.5;5.94;47.2;38.5;8.67;59.0;45.3;16.2;1.11;6.9;1.50;1.50;15.6;Matches;e5a76dfe
66;Wayne Hennessey;wls WAL;GK;Nott'ham Forest;eng Premier League;36-047;1987;2.0;2.00;0.00;0.00;0.50;0.00;1.90;0.35;-0.10;-0.10;8.00;13.0;61.5;20.5;4.00;41.5;37.1;7.50;60.0;41.9;11.0;0.00;0.0;1.00;1.00;17.8;Matches;76eca7e2
67;Sergio Herrera;es ESP;GK;Osasuna;es La Liga;29-280;1993;12.0;1.17;0.08;0.08;0.17;0.00;0.93;0.24;-0.15;-0.17;8.17;19.3;42.2;25.7;2.83;58.1;43.9;7.17;61.6;48.1;11.2;0.50;4.5;1.25;1.36;18.6;Matches;a4995f48
68;Lukáš Hrádecký;fi FIN;GK;Leverkusen;de Bundesliga;33-108;1989;22.0;1.59;0.23;0.05;0.18;0.09;1.40;0.26;-0.10;-0.10;3.59;11.0;32.6;28.7;4.45;30.7;31.9;5.36;40.7;36.8;11.3;0.82;7.3;0.73;0.73;13.7;Matches;ad3389d5
69;Jan Jakob Olschowsky;de GER;GK;M'Gladbach;de Bundesliga;21-114;2001;2.0;2.00;0.00;0.00;0.50;0.00;2.75;0.40;0.75;+0.74;5.00;15.0;33.3;39.0;6.00;37.2;33.4;6.50;7.7;22.2;15.0;1.00;6.7;1.50;1.50;14.1;Matches;fa4cabd1
70;Filip Jörgensen;dk DEN;GK;Villarreal;es La Liga;20-330;2002;1.0;1.00;0.00;0.00;0.00;0.00;0.70;0.25;-0.30;-0.26;0.00;4.00;0.0;28.0;5.00;14.3;23.3;7.00;0.0;13.3;13.0;1.00;7.7;0.00;0.00;8.7;Matches;0107757e
71;Bingourou Kamara;sn SEN;GK;Montpellier;fr Ligue 1;26-142;1996;4.5;2.44;0.22;0.00;0.44;0.00;2.02;0.29;-0.42;-0.41;4.00;12.7;31.6;21.1;4.22;42.1;35.4;7.78;48.6;39.9;11.6;0.67;5.8;0.44;0.44;11.2;Matches;3814120d
72;Gregor Kobel;ch SUI;GK;Dortmund;de Bundesliga;25-096;1997;18.0;1.06;0.00;0.00;0.11;0.00;1.24;0.28;0.18;+0.18;3.94;10.5;37.6;33.2;4.44;22.3;29.6;7.11;43.8;38.8;11.8;0.56;4.7;1.50;1.50;17.1;Matches;cd59b9df
73;Tomáš Koubek;cz CZE;GK;Augsburg;de Bundesliga;30-198;1992;4.0;2.25;0.00;0.25;0.00;0.00;2.52;0.42;0.28;+0.27;10.0;24.3;41.2;31.5;4.25;50.0;42.6;10.0;85.0;60.0;20.0;1.50;7.5;0.50;0.50;12.2;Matches;dc366c36
74;Alban Lafont;fr FRA;GK;Nantes;fr Ligue 1;24-048;1999;25.0;1.32;0.16;0.04;0.12;0.16;1.33;0.26;0.17;+0.17;5.28;14.5;36.5;25.3;5.64;38.5;35.9;7.00;67.4;49.2;13.6;1.08;8.0;0.80;0.80;11.4;Matches;4e7db402
75;Benjamin Lecomte;fr FRA;GK;Espanyol;es La Liga;31-320;1991;10.0;1.40;0.00;0.00;0.20;0.10;1.04;0.26;-0.26;-0.26;7.20;16.0;45.0;19.2;2.50;57.3;43.1;8.00;62.5;47.0;14.6;0.40;2.7;1.10;1.10;15.3;Matches;2fa2a875
76;Benjamin Lecomte;fr FRA;GK;Montpellier;fr Ligue 1;31-320;1991;7.0;0.86;0.00;0.00;0.00;0.00;1.19;0.23;0.33;+0.33;4.71;12.3;38.4;22.9;4.14;36.3;33.5;8.14;49.1;39.6;13.4;0.71;5.3;0.57;0.57;13.0;Matches;2fa2a875
77;Jeremías Ledesma;ar ARG;GK;Cádiz;es La Liga;30-027;1993;25.0;1.48;0.28;0.04;0.16;0.00;1.25;0.20;-0.15;-0.15;6.56;21.6;30.3;23.5;3.92;60.1;45.5;8.40;89.5;64.6;16.9;1.24;7.3;0.44;0.46;9.5;Matches;6c4776b1
78;Bernd Leno;de GER;GK;Fulham;eng Premier League;31-008;1992;24.0;1.33;0.17;0.04;0.21;0.00;1.53;0.28;0.20;+0.20;4.25;12.2;34.8;30.4;5.21;30.3;31.2;7.38;40.7;36.9;13.2;0.96;7.3;1.33;1.33;14.9;Matches;2628fd2b
79;Benjamin Leroy;fr FRA;GK;Ajaccio;fr Ligue 1;33-339;1989;22.1;1.86;0.23;0.05;0.36;0.00;1.48;0.30;-0.38;-0.38;6.61;16.6;39.8;20.8;2.26;54.3;39.1;6.38;83.0;52.0;11.7;0.59;5.0;1.67;1.68;17.2;Matches;1e7aea56
80;Mateusz Lis;pl POL;GK;Troyes;fr Ligue 1;26-013;1997;7.0;2.00;0.29;0.00;0.14;0.00;2.11;0.27;0.11;+0.11;5.00;15.0;33.3;28.3;4.71;39.9;35.7;9.29;40.0;34.1;18.4;1.43;7.8;1.57;1.57;14.8;Matches;fd78b105
81;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;36-076;1986;21.0;1.38;0.05;0.00;0.10;0.05;1.22;0.26;-0.11;-0.11;3.24;8.52;38.0;21.9;4.48;30.7;31.3;7.76;23.3;24.9;13.0;0.76;5.8;1.24;1.24;14.1;Matches;8f62b6ee
82;Anthony Lopes;pt POR;GK;Lyon;fr Ligue 1;32-162;1990;21.3;1.13;0.19;0.09;0.23;0.00;1.14;0.25;0.01;+0.01;3.38;9.25;36.5;23.4;4.32;31.9;32.2;6.20;28.8;31.2;11.5;0.61;5.3;0.66;0.66;13.4;Matches;f00de885
83;Diego López;es ESP;GK;Rayo Vallecano;es La Liga;41-129;1981;1.0;3.00;0.00;0.00;2.00;0.00;1.00;0.26;-2.00;-1.95;2.00;8.00;25.0;21.0;5.00;28.6;30.3;8.00;25.0;35.3;12.0;0.00;0.0;2.00;2.00;17.0;Matches;73683fa9
84;Pau López;es ESP;GK;Marseille;fr Ligue 1;28-089;1994;22.0;0.91;0.18;0.00;0.05;0.05;1.08;0.24;0.22;+0.22;3.32;9.18;36.1;27.8;4.23;23.2;30.7;5.45;50.0;39.3;11.1;0.68;6.1;1.05;1.05;15.2;Matches;20b9f052
85;Andriy Lunin;ua UKR;GK;Real Madrid;es La Liga;24-029;1999;6.0;0.50;0.00;0.00;0.00;0.17;0.48;0.22;0.15;+0.15;2.17;4.00;54.2;27.2;5.33;8.0;22.9;4.83;37.9;37.8;7.67;0.17;2.2;1.33;1.33;20.8;Matches;3061e1ec
86;Andrey Lunyov;ru RUS;GK;Leverkusen;de Bundesliga;31-119;1991;1.0;2.00;0.00;0.00;0.00;0.00;1.40;0.35;-0.60;-0.61;4.00;10.0;40.0;41.0;7.00;24.4;30.3;3.00;0.0;15.3;6.00;1.00;16.7;1.00;1.00;13.0;Matches;8a6ab963
