;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
9;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;29;1989;32.0;1.41;0.06;0.06;0.13;0.09;1.48;0.28;0.17;+0.17;5.69;13.7;41.5;17.7;4.19;46.5;39.2;7.94;69.3;51.5;18.1;0.63;3.4;0.81;0.81;11.8;Matches;9f0ea33f
10;Emil Audero;it ITA;GK;Sampdoria;it Serie A;21;1997;36.0;1.42;0.19;0.06;0.17;0.03;1.38;0.30;-0.01;-0.01;3.42;10.3;33.2;23.9;5.03;25.9;28.7;8.25;49.5;39.1;16.3;0.69;4.3;1.33;1.33;15.0;Matches;649b01d8
11;Francesco Bardi;it ITA;GK;Frosinone;it Serie A;26;1992;3.0;1.67;0.00;0.33;0.00;0.00;1.27;0.32;-0.40;-0.41;4.33;13.3;32.5;19.7;5.00;49.2;36.1;5.00;73.3;50.9;11.3;1.00;8.8;0.00;0.00;7.0;Matches;0acda699
12;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;28;1990;33.0;1.55;0.18;0.03;0.12;0.03;1.44;0.26;-0.08;-0.08;4.97;12.0;41.3;31.4;5.79;28.8;29.3;7.52;39.9;39.4;13.4;0.42;3.2;1.76;1.76;18.0;Matches;47064058
13;Asmir Begovi?;ba BIH;GK;Bournemouth;eng Premier League;31;1987;24.0;1.96;0.08;0.00;0.21;0.08;1.44;0.32;-0.44;-0.44;5.38;13.7;39.3;19.4;5.33;42.5;35.9;8.00;67.7;49.9;15.2;1.00;6.6;0.67;0.67;11.3;Matches;7b4de647
14;Diego Benaglio;ch SUI;GK;Monaco;fr Ligue 1;34;1983;22.9;1.66;0.13;0.00;0.13;0.04;1.49;0.31;-0.12;-0.12;3.80;9.83;38.7;20.2;4.93;28.4;30.3;8.12;50.5;41.1;14.3;0.39;2.8;0.66;0.66;12.6;Matches;b7e7937d
15;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;25;1993;35.0;0.83;0.06;0.00;0.14;0.03;1.15;0.25;0.35;+0.35;3.63;9.83;36.9;23.9;5.83;22.1;28.5;8.80;51.6;41.2;16.0;0.49;3.0;0.40;0.40;11.5;Matches;8a2248b4
16;Etrit Berisha;al ALB;GK;Atalanta;it Serie A;29;1989;18.0;1.39;0.06;0.06;0.28;0.17;1.01;0.27;-0.21;-0.21;5.06;11.1;45.7;19.2;5.00;26.4;30.3;7.50;80.0;51.7;11.6;0.44;3.8;1.06;1.06;14.5;Matches;ee833569
17;Paul Bernardoni;fr FRA;GK;Nîmes;fr Ligue 1;21;1997;38.0;1.53;0.11;0.00;0.11;0.03;1.59;0.31;0.09;+0.09;6.16;18.2;33.9;21.7;4.21;54.3;40.0;7.63;83.4;55.2;12.9;0.74;5.7;0.87;0.87;14.5;Matches;28dabd43
18;Dimitry Bertaud;fr FRA;GK;Montpellier;fr Ligue 1;20;1998;1.0;0.00;0.00;0.00;0.00;0.00;0.10;0.08;0.10;+0.08;9.00;25.0;36.0;23.0;3.00;56.5;39.9;13.0;92.3;52.3;13.0;1.00;7.7;0.00;0.00;9.0;Matches;380a15e2
19;Marcus Bettinelli;eng ENG;GK;Fulham;eng Premier League;26;1992;7.0;2.86;0.14;0.00;0.14;0.00;2.50;0.39;-0.36;-0.36;9.14;20.4;44.8;25.1;4.57;49.4;37.3;9.57;83.6;53.9;18.4;0.14;0.8;1.57;1.57;16.0;Matches;0d85a4e8
20;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;23;1995;25.0;1.60;0.16;0.12;0.12;0.00;1.63;0.34;0.03;+0.03;6.64;17.3;38.4;23.8;4.56;44.5;38.0;8.80;75.9;56.8;14.0;0.48;3.4;1.20;1.20;15.6;Matches;967f34d3
21;Artur Boruc;pl POL;GK;Bournemouth;eng Premier League;38;1980;12.0;1.50;0.25;0.17;0.08;0.00;1.32;0.24;-0.18;-0.17;4.75;13.9;34.1;19.7;5.17;39.8;36.6;9.33;65.2;48.2;17.8;0.33;1.9;0.75;0.75;14.3;Matches;34ccf6fa
22;Zacharie Boucher;fr FRA;GK;Angers;fr Ligue 1;26;1992;2.0;0.50;0.00;0.00;0.00;0.00;0.50;0.26;0.00;+0.02;5.00;16.0;31.3;18.0;4.00;47.2;39.4;8.50;88.2;60.5;18.5;2.00;10.8;1.00;1.00;17.8;Matches;249cdcff
23;Yassine Bounou;ma MAR;GK;Girona;es La Liga;27;1991;31.8;1.35;0.19;0.06;0.16;0.03;1.56;0.27;0.24;+0.24;5.72;14.8;38.6;22.6;4.18;40.7;37.1;8.30;67.8;49.5;13.8;0.47;3.4;0.60;0.60;13.1;Matches;f6798fc3
24;Fabian Bredlow;de GER;GK;Nürnberg;de Bundesliga;23;1995;12.5;2.24;0.00;0.00;0.08;0.00;1.76;0.36;-0.48;-0.48;4.88;15.0;32.4;28.2;3.68;37.5;32.9;9.52;47.1;43.0;13.7;0.08;0.6;0.80;0.80;12.7;Matches;d28339cb
25;Gianluigi Buffon;it ITA;GK;Paris S-G;fr Ligue 1;40;1978;17.0;1.06;0.06;0.06;0.12;0.18;1.05;0.25;0.17;+0.17;1.24;3.12;39.6;17.7;4.65;9.0;21.1;6.35;24.1;31.2;10.2;0.12;1.1;0.94;0.94;16.4;Matches;e40d028b
26;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;27;1990;32.0;1.25;0.13;0.03;0.19;0.00;1.22;0.28;-0.03;-0.03;4.38;13.4;32.7;26.6;5.34;33.3;32.9;6.94;64.9;48.7;13.3;0.56;4.2;1.13;1.13;15.1;Matches;9d12e142
27;Ludovic Butelle;fr FRA;GK;Angers;fr Ligue 1;35;1983;36.0;1.33;0.08;0.00;0.08;0.06;1.31;0.27;0.03;+0.03;6.67;16.0;41.7;19.6;5.08;49.8;38.3;8.06;77.2;50.7;14.6;0.47;3.2;0.92;0.92;13.9;Matches;26975a92
28;David Button;eng ENG;GK;Brighton;eng Premier League;29;1989;4.0;1.25;0.50;0.00;0.00;0.00;1.20;0.15;-0.05;-0.06;6.50;21.8;29.9;18.5;2.25;73.0;47.7;8.50;97.1;65.1;13.8;0.75;5.5;0.50;0.50;13.5;Matches;e608ed4c
29;Willy Caballero;ar ARG;GK;Chelsea;eng Premier League;36;1981;2.0;0.00;0.00;0.00;0.00;0.00;0.15;0.11;0.15;+0.16;4.50;10.0;45.0;23.5;4.50;19.1;29.5;8.00;68.8;46.6;13.0;1.00;7.7;0.00;0.00;5.8;Matches;a179d516
30;Rafael Cabral;br BRA;GK;Sampdoria;it Serie A;28;1990;2.0;0.00;0.00;0.00;0.00;0.00;0.10;0.10;0.10;+0.10;5.50;12.0;45.8;22.5;4.00;35.6;34.7;7.00;57.1;45.0;9.50;0.00;0.0;0.50;0.50;16.5;Matches;806f7a26
31;Marc-Aurèle Caillard;fr FRA;GK;Guingamp;fr Ligue 1;24;1994;21.0;1.62;0.05;0.05;0.14;0.00;1.47;0.31;-0.15;-0.15;7.33;18.1;40.5;17.6;2.90;60.7;44.2;8.24;90.2;59.3;13.1;0.71;5.5;0.19;0.19;9.3;Matches;5ee6e943
32;Yoan Cardinale;fr FRA;GK;Nice;fr Ligue 1;24;1994;3.0;2.00;0.33;0.00;0.00;0.00;1.23;0.23;-0.77;-0.76;0.00;0.33;0.0;22.3;7.00;1.5;21.3;5.67;0.0;24.6;10.3;0.00;0.0;1.67;1.67;19.4;Matches;950ff24d
33;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;26;1992;25.5;1.53;0.16;0.12;0.04;0.00;1.57;0.31;0.04;+0.04;7.61;16.5;46.2;38.5;5.80;31.9;33.8;7.84;53.5;45.8;15.6;0.82;5.3;1.02;1.02;14.4;Matches;db401046
34;Petr ?ech;cz CZE;GK;Arsenal;eng Premier League;36;1982;6.5;1.38;0.00;0.00;0.00;0.00;1.42;0.26;0.03;+0.03;4.92;14.3;34.4;33.4;7.08;28.6;31.7;8.15;58.5;46.5;16.0;0.92;5.8;1.23;1.23;12.9;Matches;71672fa0
35;Leandro Chichizola;ar ARG;GK;Getafe;es La Liga;28;1990;1.0;1.00;0.00;0.00;0.00;0.00;0.50;0.54;-0.50;-0.46;8.00;22.0;36.4;24.0;3.00;79.2;50.3;3.00;100.0;71.3;7.00;0.00;0.0;0.00;0.00;15.5;Matches;8d957256
36;Jasper Cillessen;nl NED;GK;Barcelona;es La Liga;29;1989;3.0;1.33;0.33;0.00;0.00;0.00;0.97;0.14;-0.37;-0.36;3.67;7.00;52.4;29.0;4.67;14.9;26.0;8.00;33.3;33.1;15.0;0.00;0.0;2.00;2.00;15.8;Matches;04ac8285
37;Joel Coleman;eng ENG;GK;Huddersfield;eng Premier League;22;1995;1.0;1.00;0.00;0.00;0.00;0.00;0.50;0.18;-0.50;-0.47;7.00;29.0;24.1;31.0;0.00;74.2;48.3;6.00;100.0;65.7;12.0;1.00;8.3;1.00;1.00;15.8;Matches;b73e459a
38;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;31;1987;35.7;1.57;0.11;0.00;0.28;0.06;1.52;0.31;0.01;+0.01;4.99;12.2;40.8;24.8;4.45;34.6;32.7;8.01;45.1;37.6;16.5;0.45;2.7;0.81;0.81;13.7;Matches;8cabdc1e
39;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;31;1987;37.0;1.14;0.16;0.03;0.30;0.00;1.25;0.27;0.12;+0.12;6.86;15.6;43.9;22.5;3.35;43.6;37.6;8.78;66.2;48.7;15.6;0.35;2.3;0.59;0.59;13.6;Matches;2434f24a
40;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;26;1992;27.0;1.33;0.22;0.00;0.11;0.00;1.34;0.30;0.01;+0.01;3.44;10.0;34.4;24.3;6.19;28.4;32.3;6.81;45.7;42.6;10.7;0.78;7.3;0.74;0.74;14.2;Matches;1840e36d
41;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;24;1994;38.0;1.42;0.21;0.05;0.11;0.05;1.62;0.26;0.25;+0.25;8.87;19.0;46.7;23.3;4.61;48.6;36.9;9.71;79.1;53.6;17.0;0.66;3.9;0.82;0.82;12.8;Matches;f554e29b
42;Iván Cuéllar;es ESP;GK;Leganés;es La Liga;34;1984;33.9;1.12;0.06;0.06;0.06;0.03;1.09;0.31;-0.00;0.00;9.20;22.5;40.8;23.7;2.74;64.5;46.4;8.08;89.8;60.7;16.0;0.80;5.0;0.83;0.82;13.4;Matches;75751c99
43;Abdoulaye Diallo;sn SEN;GK;Rennes;fr Ligue 1;26;1992;5.5;0.73;0.18;0.00;0.18;0.00;0.91;0.20;0.18;+0.17;3.27;9.82;33.3;19.8;4.36;32.1;33.1;6.55;52.8;42.5;10.9;1.09;10.0;0.55;0.55;12.7;Matches;26383ea5
44;Javier Díaz;es ESP;GK;Sevilla;es La Liga;21;1997;1.0;1.00;1.00;0.00;0.00;0.00;1.20;0.09;0.20;+0.18;3.00;11.0;27.3;18.0;2.00;38.9;35.3;5.00;80.0;53.6;9.00;0.00;0.0;0.00;0.00;8.5;Matches;17a1299d
45;Stole Dimitrievski;mk MKD;GK;Rayo Vallecano;es La Liga;24;1993;21.0;1.67;0.29;0.00;0.24;0.00;1.57;0.27;-0.10;-0.10;6.29;15.3;41.0;22.5;5.48;46.2;37.5;8.00;61.9;46.6;15.2;0.38;2.5;0.81;0.81;14.4;Matches;fc70e345
46;Marko Dmitrovi?;rs SRB;GK;Eibar;es La Liga;26;1992;24.0;1.25;0.13;0.08;0.13;0.00;1.15;0.28;-0.10;-0.10;8.29;24.0;34.5;25.2;2.79;71.4;49.9;6.46;94.2;68.7;11.3;0.63;5.5;2.38;2.38;18.6;Matches;ac295d9e
47;Jaume Doménech;es ESP;GK;Valencia;es La Liga;27;1990;4.0;0.25;0.00;0.00;0.25;0.00;0.65;0.20;0.40;+0.40;6.00;12.3;49.0;15.3;4.50;37.7;35.1;7.50;86.7;54.7;14.5;1.00;6.9;0.50;0.50;12.5;Matches;c9cb972b
48;Gianluigi Donnarumma;it ITA;GK;Milan;it Serie A;19;1999;34.3;0.90;0.09;0.03;0.15;0.03;1.01;0.25;0.14;+0.14;4.26;8.89;47.9;25.5;5.92;20.6;27.5;8.75;41.7;36.5;15.9;0.44;2.7;0.64;0.64;12.8;Matches;08f5afaa
49;Bart?omiej Dr?gowski;pl POL;GK;Fiorentina;it Serie A;20;1997;2.5;0.80;0.00;0.00;0.00;0.00;0.84;0.27;0.04;+0.05;8.00;20.8;38.5;29.6;4.00;47.3;38.1;12.4;54.8;42.4;11.6;0.00;0.0;0.40;0.40;9.9;Matches;085e71a7
50;Bart?omiej Dr?gowski;pl POL;GK;Empoli;it Serie A;20;1997;14.0;1.71;0.21;0.00;0.21;0.00;1.84;0.23;0.12;+0.12;4.07;14.1;28.8;23.8;6.50;35.7;34.3;10.9;51.6;45.2;16.9;0.71;4.2;1.57;1.57;14.7;Matches;085e71a7
51;Jaroslav Drobný;cz CZE;GK;Düsseldorf;de Bundesliga;38;1979;2.0;1.50;0.00;0.00;0.00;0.00;1.30;0.32;-0.20;-0.19;5.00;9.50;52.6;13.5;2.50;51.9;39.4;5.00;50.0;39.5;8.00;1.50;18.8;1.50;1.50;16.3;Matches;e4a30d8c
52;Martin Dúbravka;sk SVK;GK;Newcastle Utd;eng Premier League;29;1989;38.0;1.26;0.16;0.05;0.24;0.03;1.11;0.27;-0.12;-0.12;6.58;18.6;35.3;22.4;3.68;51.1;38.9;8.50;84.8;57.9;17.1;1.13;6.6;0.87;0.87;12.0;Matches;3a949a25
53;Maxime Dupé;fr FRA;GK;Nantes;fr Ligue 1;25;1993;10.4;1.63;0.19;0.19;0.19;0.00;1.28;0.30;-0.36;-0.36;7.02;18.1;38.8;19.9;3.46;52.2;38.7;8.75;87.9;58.0;15.4;0.67;4.4;0.67;0.67;13.8;Matches;0e12089d
54;Ederson;br BRA;GK;Manchester City;eng Premier League;24;1993;38.0;0.61;0.11;0.03;0.13;0.00;0.61;0.25;0.01;+0.01;2.58;6.29;41.0;24.2;4.95;17.1;26.8;4.97;43.4;42.9;7.42;0.50;6.7;1.08;1.08;16.9;Matches;3bb7b8b4
55;Michael Esser;de GER;GK;Hannover 96;de Bundesliga;30;1987;32.0;2.06;0.16;0.03;0.31;0.03;1.90;0.26;-0.13;-0.13;9.34;19.0;49.1;29.5;4.50;46.2;36.9;9.22;58.6;43.3;17.2;0.75;4.4;1.19;1.19;14.6;Matches;83e0eeb4
56;Neil Etheridge;ph PHI;GK;Cardiff City;eng Premier League;28;1990;38.0;1.82;0.11;0.03;0.32;0.00;1.79;0.30;-0.02;-0.02;8.87;28.3;31.3;23.1;1.34;86.6;53.9;8.39;99.4;65.6;14.1;0.39;2.8;1.21;1.21;15.4;Matches;2642bf6c
57;?ukasz Fabia?ski;pl POL;GK;West Ham;eng Premier League;33;1985;38.0;1.45;0.11;0.00;0.26;0.03;1.65;0.31;0.23;+0.23;8.05;21.7;37.1;24.1;4.08;59.0;43.0;8.13;91.9;61.3;14.6;0.76;5.2;0.42;0.42;12.1;Matches;9328b835
58;Fabricio;es ESP;GK;Fulham;eng Premier League;30;1987;2.0;2.50;0.00;0.50;0.00;0.00;2.15;0.21;-0.35;-0.36;8.00;14.0;57.1;23.5;7.00;40.4;35.4;7.00;64.3;44.0;14.5;1.00;6.9;1.50;1.50;13.6;Matches;af245161
59;Ralf Fährmann;de GER;GK;Schalke 04;de Bundesliga;29;1988;16.3;1.60;0.12;0.06;0.25;0.06;1.40;0.27;-0.13;-0.14;6.32;14.3;44.2;24.2;4.36;40.6;36.4;7.36;60.8;45.8;12.1;0.61;5.1;1.29;1.29;14.7;Matches;1e43fad8
60;Aitor Fernández;es ESP;GK;Levante;es La Liga;27;1991;16.0;1.50;0.25;0.00;0.19;0.06;1.61;0.27;0.17;+0.17;5.56;15.8;35.3;18.4;5.19;47.8;39.4;10.1;68.5;49.1;14.0;0.31;2.2;1.06;1.06;14.6;Matches;a01c3d54
61;Andrés Fernández;es ESP;GK;Villarreal;es La Liga;31;1986;6.0;1.17;0.17;0.00;0.17;0.00;1.42;0.33;0.25;+0.25;7.50;15.5;48.4;23.7;3.33;43.7;37.5;8.17;63.3;45.9;16.2;0.50;3.1;1.67;1.67;16.1;Matches;307fcd26
62;Mark Flekken;nl NED;GK;Freiburg;de Bundesliga;25;1993;1.0;1.00;0.00;0.00;0.00;0.00;0.90;0.18;-0.10;-0.11;5.00;11.0;45.5;24.0;1.00;37.5;38.1;5.00;40.0;44.6;7.00;0.00;0.0;0.00;0.00;15.5;Matches;a92ab7be
63;Fraser Forster;eng ENG;GK;Southampton;eng Premier League;30;1988;1.0;3.00;0.00;0.00;0.00;0.00;1.90;0.31;-1.10;-1.15;5.00;18.0;27.8;16.0;4.00;68.8;42.6;7.00;100.0;65.1;5.00;0.00;0.0;0.00;0.00;2.0;Matches;c3e39f12
64;Ben Foster;eng ENG;GK;Watford;eng Premier League;35;1983;38.0;1.55;0.11;0.05;0.16;0.08;1.46;0.30;-0.01;-0.01;8.95;24.8;36.1;24.8;2.58;69.9;45.9;8.11;91.9;63.2;15.1;0.82;5.4;1.89;1.89;16.9;Matches;d0b3ceb9
65;Pierluigi Frattali;it ITA;GK;Parma;it Serie A;32;1985;1.0;2.00;0.00;0.00;0.00;1.00;0.90;0.11;-0.10;-0.13;5.00;16.0;31.3;24.0;5.00;37.5;35.0;15.0;46.7;37.3;29.0;0.00;0.0;0.00;0.00;6.5;Matches;71dac2c2
66;Alberto García;es ESP;GK;Rayo Vallecano;es La Liga;33;1985;17.0;2.06;0.06;0.00;0.29;0.06;1.94;0.34;-0.06;-0.06;6.35;15.2;41.7;24.4;4.82;41.9;37.2;8.12;61.6;46.3;15.0;0.29;2.0;1.06;1.06;15.5;Matches;17d9e354
67;Paulo Gazzaniga;ar ARG;GK;Tottenham;eng Premier League;26;1992;3.0;0.67;0.00;0.00;0.00;0.00;1.43;0.33;0.77;+0.77;5.00;14.7;34.1;27.3;4.33;29.3;29.3;8.67;76.9;54.7;14.0;0.67;4.8;0.67;0.67;13.1;Matches;63d17038
68;David de Gea;es ESP;GK;Manchester Utd;eng Premier League;27;1990;38.0;1.42;0.16;0.05;0.18;0.08;1.31;0.26;-0.03;-0.03;6.97;16.3;42.7;20.2;4.03;46.6;38.2;8.74;78.9;54.6;13.8;0.24;1.7;0.66;0.66;13.4;Matches;7ba6d84e
69;Fabian Giefer;de GER;GK;Augsburg;de Bundesliga;28;1990;4.0;1.75;0.00;0.00;0.25;0.00;1.38;0.29;-0.38;-0.38;7.00;15.3;45.9;22.0;4.00;48.9;39.3;7.25;62.1;47.7;13.5;0.75;5.6;0.25;0.25;10.1;Matches;fbefefdb
70;Mauro Goicoechea;uy URU;GK;Toulouse;fr Ligue 1;30;1988;7.9;1.52;0.13;0.13;0.13;0.00;1.03;0.20;-0.49;-0.49;6.08;16.2;37.5;22.8;4.56;44.4;36.6;9.11;66.7;49.1;15.3;0.76;5.0;1.27;1.26;14.5;Matches;132bb875
71;Pierluigi Gollini;it ITA;GK;Atalanta;it Serie A;23;1995;20.0;1.05;0.15;0.10;0.05;0.00;1.06;0.27;0.01;+0.01;4.75;12.8;37.0;22.7;4.15;34.4;33.2;6.85;73.7;53.8;12.0;0.20;1.7;1.50;1.50;17.8;Matches;f0f7f62f
72;Alfred Gomis;sn SEN;GK;SPAL;it Serie A;24;1993;19.2;1.41;0.05;0.00;0.36;0.00;1.20;0.30;-0.21;-0.21;5.89;14.9;39.5;27.7;6.30;38.8;34.0;7.86;53.0;42.9;13.7;0.36;2.7;0.52;0.52;12.1;Matches;cecbce23
73;Mathieu Gorgelin;fr FRA;GK;Lyon;fr Ligue 1;27;1990;4.0;1.25;0.00;0.25;0.25;0.00;0.93;0.25;-0.33;-0.33;2.75;5.25;52.4;20.8;6.00;10.8;24.2;7.25;41.4;39.1;11.5;0.00;0.0;2.25;2.25;16.7;Matches;4d3e9033
74;Vicente Guaita;es ESP;GK;Crystal Palace;eng Premier League;31;1987;19.5;1.18;0.05;0.00;0.10;0.05;1.04;0.23;-0.09;-0.09;6.31;20.3;31.1;20.4;4.62;56.5;41.4;9.79;89.5;58.7;16.3;0.67;4.1;0.51;0.51;12.5;Matches;ab13a5aa
75;Guido Guerrieri;it ITA;GK;Lazio;it Serie A;22;1996;1.0;3.00;0.00;0.00;1.00;0.00;2.00;0.50;-1.00;-1.00;2.00;8.00;25.0;26.0;8.00;15.4;27.3;9.00;44.4;40.7;16.0;0.00;0.0;2.00;2.00;16.0;Matches;77e401c7
76;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;28;1990;32.5;0.83;0.12;0.03;0.12;0.03;1.17;0.30;0.37;+0.37;7.26;18.1;40.1;24.5;3.82;50.6;39.6;6.86;83.0;56.2;11.7;0.49;4.2;1.75;1.75;19.5;Matches;bcb2ccd8
77;Angus Gunn;eng ENG;GK;Southampton;eng Premier League;22;1996;12.0;1.50;0.00;0.00;0.17;0.00;1.24;0.28;-0.26;-0.26;5.75;20.8;27.7;17.9;1.42;77.2;48.4;7.58;91.2;60.8;13.8;0.42;3.0;1.00;1.00;14.3;Matches;e082af5b
78;Régis Gurtner;fr FRA;GK;Amiens;fr Ligue 1;31;1986;38.0;1.37;0.16;0.08;0.18;0.05;1.26;0.25;-0.06;-0.06;7.79;20.4;38.2;21.7;2.16;59.2;42.7;8.66;86.9;56.7;15.0;0.37;2.5;0.47;0.47;13.7;Matches;bc270726
79;Ben Hamer;eng ENG;GK;Huddersfield;eng Premier League;30;1987;6.1;3.44;0.49;0.33;0.16;0.16;3.03;0.37;-0.25;-0.25;9.34;25.4;36.8;24.8;1.97;73.5;48.9;8.52;84.6;56.3;11.3;0.82;7.2;0.66;0.65;12.8;Matches;d822a850
80;Samir Handanovi?;si SVN;GK;Inter;it Serie A;34;1984;38.0;0.87;0.08;0.03;0.08;0.08;0.87;0.24;0.08;+0.08;3.68;7.87;46.8;23.7;5.34;21.0;27.3;6.97;41.5;37.1;12.9;0.42;3.3;0.71;0.71;14.5;Matches;74419746
81;Joe Hart;eng ENG;GK;Burnley;eng Premier League;31;1987;19.0;2.16;0.05;0.05;0.32;0.05;1.89;0.30;-0.21;-0.21;10.6;26.3;40.4;22.8;2.63;75.8;49.2;9.53;94.5;65.2;16.3;0.32;1.9;0.74;0.74;13.3;Matches;cb4f24c6
82;Tom Heaton;eng ENG;GK;Burnley;eng Premier League;32;1986;19.0;1.42;0.05;0.05;0.11;0.16;1.16;0.26;-0.11;-0.10;9.42;24.1;39.2;21.8;2.37;73.4;48.2;9.05;89.0;60.7;17.5;0.42;2.4;1.53;1.53;16.4;Matches;a6de6361
83;Wayne Hennessey;wls WAL;GK;Crystal Palace;eng Premier League;31;1987;17.5;1.49;0.17;0.06;0.23;0.00;1.30;0.28;-0.18;-0.18;6.34;19.5;32.5;21.3;3.77;59.0;43.6;8.17;85.3;63.1;17.1;0.74;4.3;0.86;0.86;13.6;Matches;76eca7e2
84;Iago Herrerín;es ESP;GK;Athletic Club;es La Liga;30;1988;31.0;1.03;0.10;0.00;0.13;0.00;0.95;0.31;-0.08;-0.08;10.2;23.3;43.7;24.7;2.87;68.7;46.9;6.74;93.8;64.3;13.5;0.58;4.3;1.10;1.10;17.3;Matches;9109185e
85;Marwin Hitz;ch SUI;GK;Dortmund;de Bundesliga;30;1987;2.0;2.00;0.00;0.00;0.50;0.00;1.20;0.40;-0.80;-0.79;3.00;9.50;31.6;25.5;3.00;25.5;31.0;6.50;46.2;43.1;16.5;0.50;3.0;1.00;1.00;12.0;Matches;2e7ff968
86;Lukáš Hrádecký;fi FIN;GK;Leverkusen;de Bundesliga;28;1989;32.0;1.47;0.09;0.06;0.28;0.06;1.19;0.27;-0.21;-0.21;6.22;13.7;45.4;36.3;5.06;29.1;31.8;6.03;52.3;41.6;12.5;0.31;2.5;1.59;1.59;18.5;Matches;ad3389d5
