edge;cost
25;1.240000000000000e+02
26;1.165000000000000e+03
27;1.890000000000000e+02
28;6.400000000000000e+02
29;3.110000000000000e+03
30;4.341000000000000e+03
31;3.603000000000000e+03
32;4.890000000000000e+02
33;8.550000000000000e+02
34;7.300000000000000e+02
35;3.640000000000000e+02
36;5.980000000000000e+02
37;3.440000000000000e+03
38;8.410000000000000e+02
39;3.316000000000000e+03
40;9.190000000000000e+02
41;3.974000000000000e+03
42;1.063000000000000e+03
43;2.620000000000000e+03
44;9.400000000000000e+02
45;1.090000000000000e+03
46;7.220000000000000e+02
47;9.210000000000000e+02
48;7.610000000000000e+02
49;3.866000000000000e+03
50;6.520000000000000e+02
51;7.540000000000000e+02
52;3.430000000000000e+03
53;1.096000000000000e+03
54;1.191000000000000e+03
55;1.232000000000000e+03
56;1.582000000000000e+03
57;2.098000000000000e+03
0;6.002000000000000e+03
1;4.645000000000000e+03
2;4.588000000000000e+03
3;6.083000000000000e+03
4;4.746000000000000e+03
5;5.126000000000000e+03
7;4.267000000000000e+03
8;6.553000000000000e+03
9;4.826000000000000e+03
10;3.830000000000000e+03
11;5.951000000000000e+03
12;6.417000000000000e+03
13;5.423000000000000e+03
14;6.089000000000000e+03
15;3.142000000000000e+03
16;4.876000000000000e+03
17;5.676000000000000e+03
18;5.181000000000000e+03
19;6.678000000000000e+03
20;4.720000000000000e+03
21;4.074000000000000e+03
22;5.071000000000000e+03
23;5.724000000000000e+03
24;6.675000000000000e+03
25;5.000000000000000e+03
26;4.993000000000000e+03
27;5.221000000000000e+03
28;4.494000000000000e+03
29;6.265000000000000e+03
30;7.850000000000000e+02
31;6.776000000000000e+03
32;5.265000000000000e+03
33;5.756000000000000e+03
34;4.628000000000000e+03
35;4.747000000000000e+03
36;5.511000000000000e+03
37;1.686000000000000e+03
38;4.276000000000000e+03
39;6.472000000000000e+03
40;4.447000000000000e+03
41;2.230000000000000e+03
42;5.167000000000000e+03
43;5.784000000000000e+03
44;5.561000000000000e+03
45;5.891000000000000e+03
46;4.902000000000000e+03
47;4.353000000000000e+03
48;4.922000000000000e+03
49;6.480000000000000e+03
50;4.759000000000000e+03
51;4.771000000000000e+03
52;6.044000000000000e+03
53;4.299000000000000e+03
54;4.199000000000000e+03
55;5.830000000000000e+03
56;5.271000000000000e+03
57;5.404000000000000e+03
0;1.743000000000000e+03
1;6.930000000000000e+02
2;9.220000000000000e+02
3;2.120000000000000e+03
4;7.160000000000000e+02
5;1.653000000000000e+03
6;4.267000000000000e+03
8;2.296000000000000e+03
9;9.230000000000000e+02
10;1.175000000000000e+03
11;1.282000000000000e+03
12;2.162000000000000e+03
13;1.906000000000000e+03
14;2.559000000000000e+03
15;1.133000000000000e+03
16;1.352000000000000e+03
17;1.422000000000000e+03
18;1.651000000000000e+03
19;2.423000000000000e+03
20;1.588000000000000e+03
21;2.090000000000000e+02
22;1.030000000000000e+03
23;1.461000000000000e+03
24;2.420000000000000e+03
25;1.538000000000000e+03
26;9.650000000000000e+02
27;1.716000000000000e+03
28;1.112000000000000e+03
29;2.010000000000000e+03
30;3.482000000000000e+03
31;2.521000000000000e+03
32;1.839000000000000e+03
33;2.288000000000000e+03
34;1.000000000000000e+03
35;1.289000000000000e+03
36;2.039000000000000e+03
37;2.551000000000000e+03
38;9.550000000000000e+02
39;2.217000000000000e+03
40;7.150000000000000e+02
41;3.125000000000000e+03
42;1.145000000000000e+03
43;1.529000000000000e+03
44;2.131000000000000e+03
45;2.466000000000000e+03
46;1.087000000000000e+03
47;7.180000000000000e+02
48;1.083000000000000e+03
49;2.225000000000000e+03
50;1.015000000000000e+03
51;9.600000000000000e+02
52;1.789000000000000e+03
53;5.370000000000000e+02
54;4.360000000000000e+02
55;2.400000000000000e+03
56;1.238000000000000e+03
57;1.199000000000000e+03
0;5.940000000000000e+02
1;2.889000000000000e+03
2;2.991000000000000e+03
3;2.040000000000000e+03
4;2.223000000000000e+03
5;3.545000000000000e+03
6;6.553000000000000e+03
7;2.296000000000000e+03
9;2.869000000000000e+03
10;3.459000000000000e+03
11;2.366000000000000e+03
12;1.470000000000000e+02
13;3.741000000000000e+03
14;4.399000000000000e+03
15;3.417000000000000e+03
16;3.163000000000000e+03
17;9.240000000000000e+02
18;3.462000000000000e+03
19;6.810000000000000e+02
20;3.734000000000000e+03
21;2.493000000000000e+03
22;1.934000000000000e+03
23;1.377000000000000e+03
24;1.300000000000000e+02
25;3.402000000000000e+03
26;2.449000000000000e+03
27;3.531000000000000e+03
28;3.219000000000000e+03
29;3.430000000000000e+02
30;5.766000000000000e+03
31;2.280000000000000e+02
32;3.724000000000000e+03
33;4.128000000000000e+03
34;2.883000000000000e+03
35;3.277000000000000e+03
36;3.870000000000000e+03
37;4.835000000000000e+03
38;3.214000000000000e+03
39;1.840000000000000e+02
40;2.746000000000000e+03
41;4.875000000000000e+03
42;2.492000000000000e+03
43;9.250000000000000e+02
44;4.017000000000000e+03
45;4.362000000000000e+03
46;2.985000000000000e+03
47;2.973000000000000e+03
48;2.831000000000000e+03
49;1.544000000000000e+03
50;2.913000000000000e+03
51;2.891000000000000e+03
52;1.103000000000000e+03
53;2.717000000000000e+03
54;2.655000000000000e+03
55;4.504000000000000e+03
56;1.972000000000000e+03
57;1.447000000000000e+03
0;2.182000000000000e+03
1;2.870000000000000e+02
2;2.170000000000000e+02
3;2.844000000000000e+03
4;5.840000000000000e+02
5;7.080000000000000e+02
6;4.826000000000000e+03
7;9.230000000000000e+02
8;2.869000000000000e+03
10;1.004000000000000e+03
11;7.810000000000000e+02
12;2.793000000000000e+03
13;1.036000000000000e+03
14;1.694000000000000e+03
15;1.694000000000000e+03
16;4.580000000000000e+02
17;1.844000000000000e+03
18;7.570000000000000e+02
19;3.125000000000000e+03
20;1.096000000000000e+03
21;8.270000000000000e+02
22;9.080000000000000e+02
23;1.702000000000000e+03
24;2.773000000000000e+03
25;5.870000000000000e+02
26;8.440000000000000e+02
27;8.260000000000000e+02
28;4.550000000000000e+02
29;2.453000000000000e+03
30;4.041000000000000e+03
31;2.945000000000000e+03
32;1.019000000000000e+03
33;1.423000000000000e+03
34;7.500000000000000e+01
35;5.720000000000000e+02
36;1.165000000000000e+03
37;3.140000000000000e+03
38;5.600000000000000e+02
39;2.658000000000000e+03
40;2.270000000000000e+02
41;3.674000000000000e+03
42;5.020000000000000e+02
43;1.944000000000000e+03
44;1.312000000000000e+03
45;1.650000000000000e+03
46;1.700000000000000e+02
47;3.830000000000000e+02
48;1.690000000000000e+02
49;3.136000000000000e+03
50;9.800000000000000e+01
51;8.000000000000000e+01
52;2.700000000000000e+03
53;4.110000000000000e+02
54;5.080000000000000e+02
55;1.584000000000000e+03
56;9.480000000000000e+02
57;1.435000000000000e+03
0;2.906000000000000e+03
1;7.720000000000000e+02
2;7.600000000000000e+02
3;2.973000000000000e+03
4;1.442000000000000e+03
5;1.298000000000000e+03
6;3.830000000000000e+03
7;1.175000000000000e+03
8;3.459000000000000e+03
9;1.004000000000000e+03
11;2.128000000000000e+03
12;3.322000000000000e+03
13;1.609000000000000e+03
14;2.266000000000000e+03
15;6.930000000000000e+02
16;1.041000000000000e+03
17;2.585000000000000e+03
18;1.353000000000000e+03
19;3.586000000000000e+03
20;8.870000000000000e+02
21;9.740000000000000e+02
22;2.553000000000000e+03
23;2.624000000000000e+03
24;3.583000000000000e+03
25;1.177000000000000e+03
26;1.488000000000000e+03
27;1.398000000000000e+03
28;6.730000000000000e+02
29;3.173000000000000e+03
30;3.045000000000000e+03
31;3.684000000000000e+03
32;1.444000000000000e+03
33;1.935000000000000e+03
34;9.410000000000000e+02
35;9.260000000000000e+02
36;1.686000000000000e+03
37;2.149000000000000e+03
38;4.550000000000000e+02
39;3.380000000000000e+03
40;8.940000000000000e+02
41;2.688000000000000e+03
42;1.433000000000000e+03
43;2.692000000000000e+03
44;1.740000000000000e+03
45;2.070000000000000e+03
46;1.081000000000000e+03
47;6.960000000000000e+02
48;1.101000000000000e+03
49;3.388000000000000e+03
50;1.009000000000000e+03
51;9.500000000000000e+02
52;2.952000000000000e+03
53;1.063000000000000e+03
54;9.640000000000000e+02
55;2.009000000000000e+03
56;1.972000000000000e+03
57;2.286000000000000e+03
0;1.658000000000000e+03
1;1.135000000000000e+03
2;1.050000000000000e+03
3;3.937000000000000e+03
4;6.940000000000000e+02
5;1.342000000000000e+03
6;5.951000000000000e+03
7;1.282000000000000e+03
8;2.366000000000000e+03
9;7.810000000000000e+02
10;2.128000000000000e+03
12;2.265000000000000e+03
13;1.695000000000000e+03
14;2.353000000000000e+03
15;2.819000000000000e+03
16;1.117000000000000e+03
17;1.557000000000000e+03
18;1.416000000000000e+03
19;2.636000000000000e+03
20;1.755000000000000e+03
21;1.608000000000000e+03
22;4.560000000000000e+02
23;1.002000000000000e+03
24;2.245000000000000e+03
25;1.246000000000000e+03
26;2.570000000000000e+02
27;1.485000000000000e+03
28;1.225000000000000e+03
29;1.925000000000000e+03
30;5.166000000000000e+03
31;2.417000000000000e+03
32;1.678000000000000e+03
33;2.082000000000000e+03
34;8.710000000000000e+02
35;1.231000000000000e+03
36;1.824000000000000e+03
37;4.265000000000000e+03
38;1.290000000000000e+03
39;2.130000000000000e+03
40;1.019000000000000e+03
41;4.799000000000000e+03
42;2.790000000000000e+02
43;1.441000000000000e+03
44;1.971000000000000e+03
45;2.309000000000000e+03
46;7.720000000000000e+02
47;1.148000000000000e+03
48;6.180000000000000e+02
49;2.844000000000000e+03
50;7.000000000000000e+02
51;8.020000000000000e+02
52;2.413000000000000e+03
53;1.188000000000000e+03
54;1.248000000000000e+03
55;2.243000000000000e+03
56;2.480000000000000e+02
57;1.210000000000000e+03
0;4.640000000000000e+02
1;2.875000000000000e+03
2;2.915000000000000e+03
3;1.958000000000000e+03
4;2.089000000000000e+03
5;3.451000000000000e+03
6;6.417000000000000e+03
7;2.162000000000000e+03
8;1.470000000000000e+02
9;2.793000000000000e+03
10;3.322000000000000e+03
11;2.265000000000000e+03
13;3.607000000000000e+03
14;4.265000000000000e+03
15;3.283000000000000e+03
16;3.029000000000000e+03
17;9.310000000000000e+02
18;3.328000000000000e+03
19;8.170000000000000e+02
20;3.600000000000000e+03
21;2.359000000000000e+03
22;1.876000000000000e+03
23;1.267000000000000e+03
24;2.000000000000000e+02
25;3.158000000000000e+03
26;2.339000000000000e+03
27;3.397000000000000e+03
28;3.120000000000000e+03
29;2.110000000000000e+02
30;5.632000000000000e+03
31;3.660000000000000e+02
32;3.590000000000000e+03
33;4.004000000000000e+03
34;2.766000000000000e+03
35;3.134000000000000e+03
36;3.736000000000000e+03
37;4.701000000000000e+03
38;3.185000000000000e+03
39;1.350000000000000e+02
40;2.914000000000000e+03
41;5.274000000000000e+03
42;2.267000000000000e+03
43;8.150000000000000e+02
44;3.883000000000000e+03
45;4.221000000000000e+03
46;2.667000000000000e+03
47;3.043000000000000e+03
48;2.606000000000000e+03
49;1.451000000000000e+03
50;2.595000000000000e+03
51;2.697000000000000e+03
52;1.011000000000000e+03
53;2.563000000000000e+03
54;2.623000000000000e+03
55;4.155000000000000e+03
56;1.834000000000000e+03
57;1.337000000000000e+03
0;3.334000000000000e+03
1;1.424000000000000e+03
2;1.119000000000000e+03
3;3.710000000000000e+03
4;1.577000000000000e+03
5;3.470000000000000e+02
6;5.423000000000000e+03
7;1.906000000000000e+03
8;3.741000000000000e+03
9;1.036000000000000e+03
10;1.609000000000000e+03
11;1.695000000000000e+03
12;3.607000000000000e+03
14;6.650000000000000e+02
15;2.300000000000000e+03
16;5.780000000000000e+02
17;2.845000000000000e+03
18;4.740000000000000e+02
19;4.116000000000000e+03
20;1.216000000000000e+03
21;1.705000000000000e+03
22;1.901000000000000e+03
23;2.693000000000000e+03
24;3.848000000000000e+03
25;6.520000000000000e+02
26;1.480000000000000e+03
27;2.240000000000000e+02
28;9.680000000000000e+02
29;3.547000000000000e+03
30;4.648000000000000e+03
31;4.020000000000000e+03
32;1.760000000000000e+02
33;3.940000000000000e+02
34;1.153000000000000e+03
35;6.920000000000000e+02
36;1.370000000000000e+02
37;3.752000000000000e+03
38;1.169000000000000e+03
39;3.744000000000000e+03
40;1.301000000000000e+03
41;4.291000000000000e+03
42;1.420000000000000e+03
43;3.047000000000000e+03
44;4.790000000000000e+02
45;6.290000000000000e+02
46;1.059000000000000e+03
47;1.249000000000000e+03
48;1.079000000000000e+03
49;4.119000000000000e+03
50;9.820000000000000e+02
51;9.670000000000000e+02
52;3.683000000000000e+03
53;1.424000000000000e+03
54;1.421000000000000e+03
55;7.710000000000000e+02
56;1.939000000000000e+03
57;2.901000000000000e+03
0;3.987000000000000e+03
1;2.185000000000000e+03
2;1.776000000000000e+03
3;4.363000000000000e+03
4;2.230000000000000e+03
5;1.126000000000000e+03
6;6.089000000000000e+03
7;2.559000000000000e+03
8;4.399000000000000e+03
9;1.694000000000000e+03
10;2.266000000000000e+03
11;2.353000000000000e+03
12;4.265000000000000e+03
13;6.650000000000000e+02
15;2.957000000000000e+03
16;1.236000000000000e+03
17;3.706000000000000e+03
18;9.920000000000000e+02
19;4.774000000000000e+03
20;1.471000000000000e+03
21;2.358000000000000e+03
22;2.654000000000000e+03
23;3.346000000000000e+03
24;4.589000000000000e+03
25;1.177000000000000e+03
26;2.151000000000000e+03
27;8.870000000000000e+02
28;1.564000000000000e+03
29;4.099000000000000e+03
30;5.304000000000000e+03
31;4.591000000000000e+03
32;8.180000000000000e+02
33;2.620000000000000e+02
34;1.716000000000000e+03
35;1.350000000000000e+03
36;5.280000000000000e+02
37;4.408000000000000e+03
38;1.827000000000000e+03
39;4.306000000000000e+03
40;1.905000000000000e+03
41;4.947000000000000e+03
42;2.073000000000000e+03
43;3.590000000000000e+03
44;5.620000000000000e+02
45;6.070000000000000e+02
46;1.717000000000000e+03
47;2.093000000000000e+03
48;1.742000000000000e+03
49;4.772000000000000e+03
50;1.645000000000000e+03
51;1.747000000000000e+03
52;4.036000000000000e+03
53;2.082000000000000e+03
54;2.179000000000000e+03
55;7.600000000000000e+02
56;2.592000000000000e+03
57;3.554000000000000e+03
0;2.870000000000000e+03
1;1.193000000000000e+03
2;1.451000000000000e+03
3;2.941000000000000e+03
4;1.609000000000000e+03
5;1.989000000000000e+03
6;3.142000000000000e+03
7;1.133000000000000e+03
8;3.417000000000000e+03
9;1.694000000000000e+03
10;6.930000000000000e+02
11;2.819000000000000e+03
12;3.283000000000000e+03
13;2.300000000000000e+03
14;2.957000000000000e+03
16;1.734000000000000e+03
17;2.543000000000000e+03
18;2.044000000000000e+03
19;3.544000000000000e+03
20;1.578000000000000e+03
21;9.320000000000000e+02
22;1.939000000000000e+03
23;2.582000000000000e+03
24;3.304000000000000e+03
25;1.868000000000000e+03
26;1.861000000000000e+03
27;2.089000000000000e+03
28;1.362000000000000e+03
29;3.131000000000000e+03
30;2.357000000000000e+03
31;3.642000000000000e+03
32;2.133000000000000e+03
33;2.624000000000000e+03
34;1.491000000000000e+03
35;1.615000000000000e+03
36;2.379000000000000e+03
37;1.456000000000000e+03
38;1.144000000000000e+03
39;3.338000000000000e+03
40;1.310000000000000e+03
41;1.990000000000000e+03
42;2.035000000000000e+03
43;2.650000000000000e+03
44;2.429000000000000e+03
45;2.759000000000000e+03
46;1.770000000000000e+03
47;1.216000000000000e+03
48;1.790000000000000e+03
49;3.346000000000000e+03
50;1.622000000000000e+03
51;1.639000000000000e+03
52;2.910000000000000e+03
53;1.162000000000000e+03
54;1.062000000000000e+03
55;2.698000000000000e+03
56;2.139000000000000e+03
57;2.278000000000000e+03
0;2.601000000000000e+03
1;8.460000000000000e+02
2;5.410000000000000e+03
3;3.207000000000000e+03
4;1.003000000000000e+03
5;2.500000000000000e+02
6;4.876000000000000e+03
7;1.352000000000000e+03
8;3.163000000000000e+03
9;4.580000000000000e+02
10;1.041000000000000e+03
11;1.117000000000000e+03
12;3.029000000000000e+03
13;5.780000000000000e+02
14;1.236000000000000e+03
15;1.734000000000000e+03
17;2.267000000000000e+03
18;3.000000000000000e+02
19;3.542000000000000e+03
20;6.380000000000000e+02
21;1.202000000000000e+03
22;1.328000000000000e+03
23;2.094000000000000e+03
24;3.187000000000000e+03
25;1.290000000000000e+02
26;9.150000000000000e+02
27;3.680000000000000e+02
28;3.900000000000000e+02
29;2.866000000000000e+03
30;4.091000000000000e+03
31;3.359000000000000e+03
32;5.610000000000000e+02
33;9.650000000000000e+02
34;4.800000000000000e+02
35;1.140000000000000e+02
36;7.110000000000000e+02
37;3.190000000000000e+03
38;5.910000000000000e+02
39;3.072000000000000e+03
40;6.690000000000000e+02
41;3.724000000000000e+03
42;8.460000000000000e+02
43;2.379000000000000e+03
44;8.540000000000000e+02
45;1.192000000000000e+03
46;3.920000000000000e+02
47;6.710000000000000e+02
48;5.110000000000000e+02
49;3.565000000000000e+03
50;4.080000000000000e+02
51;3.880000000000000e+02
52;3.129000000000000e+03
53;8.460000000000000e+02
54;9.500000000000000e+02
55;1.126000000000000e+03
56;1.347000000000000e+03
57;1.860000000000000e+03
0;3.300000000000000e+02
1;2.142000000000000e+03
2;2.182000000000000e+03
3;1.991000000000000e+03
4;1.260000000000000e+03
5;2.736000000000000e+03
6;5.676000000000000e+03
7;1.422000000000000e+03
8;9.240000000000000e+02
9;1.844000000000000e+03
10;2.585000000000000e+03
11;1.557000000000000e+03
12;9.310000000000000e+02
13;2.845000000000000e+03
14;3.706000000000000e+03
15;2.543000000000000e+03
16;2.267000000000000e+03
18;2.566000000000000e+03
19;1.273000000000000e+03
20;2.905000000000000e+03
21;1.619000000000000e+03
22;1.175000000000000e+03
23;5.640000000000000e+02
24;1.068000000000000e+03
25;2.600000000000000e+03
26;1.638000000000000e+03
27;2.841000000000000e+03
28;2.470000000000000e+03
29;7.700000000000000e+02
30;5.113000000000000e+03
31;1.240000000000000e+03
32;3.039000000000000e+03
33;3.433000000000000e+03
34;2.134000000000000e+03
35;2.580000000000000e+03
36;3.184000000000000e+03
37;4.182000000000000e+03
38;2.465000000000000e+03
39;9.530000000000000e+02
40;1.997000000000000e+03
41;4.756000000000000e+03
42;1.834000000000000e+03
43;1.140000000000000e+02
44;3.335000000000000e+03
45;3.670000000000000e+03
46;2.388000000000000e+03
47;2.349000000000000e+03
48;1.984000000000000e+03
49;1.715000000000000e+03
50;2.068000000000000e+03
51;2.074000000000000e+03
52;1.284000000000000e+03
53;1.968000000000000e+03
54;2.031000000000000e+03
55;3.604000000000000e+03
56;1.340000000000000e+03
57;6.360000000000000e+02
0;3.049000000000000e+03
1;1.127000000000000e+03
2;8.460000000000000e+02
3;3.512000000000000e+03
4;1.297000000000000e+03
5;1.380000000000000e+02
6;5.181000000000000e+03
7;1.651000000000000e+03
8;3.462000000000000e+03
9;7.570000000000000e+02
10;1.353000000000000e+03
11;1.416000000000000e+03
12;3.328000000000000e+03
13;4.740000000000000e+02
14;9.920000000000000e+02
15;2.044000000000000e+03
16;3.000000000000000e+02
17;2.566000000000000e+03
19;3.841000000000000e+03
20;9.450000000000000e+02
21;1.507000000000000e+03
22;1.627000000000000e+03
23;2.393000000000000e+03
24;3.486000000000000e+03
25;1.780000000000000e+02
26;1.214000000000000e+03
27;2.540000000000000e+02
28;6.520000000000000e+02
29;3.165000000000000e+03
30;4.396000000000000e+03
31;3.658000000000000e+03
32;5.310000000000000e+02
33;7.300000000000000e+02
34;1.079000000000000e+03
35;3.740000000000000e+02
36;4.760000000000000e+02
37;3.495000000000000e+03
38;8.560000000000000e+02
39;3.371000000000000e+03
40;9.680000000000000e+02
41;4.029000000000000e+03
42;1.140000000000000e+03
43;2.678000000000000e+03
44;8.060000000000000e+02
45;9.600000000000000e+02
46;6.910000000000000e+02
47;9.780000000000000e+02
48;8.100000000000000e+02
49;3.864000000000000e+03
50;7.070000000000000e+02
