recorded_date,age_group,sex,observed_ethnicity,domestic_abuse,borough,method_of_killing,solved_status,year,month.name,season
2003-03-01,45 to 54,Male,Asian,Not Domestic Abuse,Brent,Knife or Sharp Implement,Solved,1,MAR,spring
2003-03-01,25 to 34,Male,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,MAR,spring
2003-03-01,20 to 24,Male,Black,Not Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Solved,1,MAR,spring
2003-03-01,35 to 44,Male,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,MAR,spring
2003-03-01,20 to 24,Female,White,Not Domestic Abuse,Westminster,Physical Assault,Solved,1,MAR,spring
2003-03-01,25 to 34,Female,Black,Not Domestic Abuse,Haringey,Shooting,Solved,1,MAR,spring
2003-03-01,45 to 54,Male,White,Not Domestic Abuse,Waltham Forest,Shooting,Solved,1,MAR,spring
2003-03-01,13 to 19,Male,Black,Not Domestic Abuse,Lambeth,Shooting,Unsolved,1,MAR,spring
2003-03-01,20 to 24,Male,Asian,Not Domestic Abuse,Redbridge,Shooting,Unsolved,1,MAR,spring
2003-03-01,45 to 54,Female,Black,Domestic Abuse,Southwark,Knife or Sharp Implement,Solved,1,MAR,spring
2003-03-01,20 to 24,Female,White,Not Domestic Abuse,Redbridge,Blunt Implement,Solved,1,MAR,spring
2003-03-01,25 to 34,Female,Asian,Not Domestic Abuse,Bexley,Shooting,Solved,1,MAR,spring
2003-03-01,20 to 24,Female,Black,Domestic Abuse,Southwark,Knife or Sharp Implement,Solved,1,MAR,spring
2003-03-01,25 to 34,Male,Black,Not Domestic Abuse,Brent,Shooting,Solved,1,MAR,spring
2003-03-01,20 to 24,Male,Black,Not Domestic Abuse,Waltham Forest,Knife or Sharp Implement,Solved,1,MAR,spring
2003-04-01,20 to 24,Male,Black,Not Domestic Abuse,Brent,Shooting,Unsolved,1,APR,spring
2003-04-01,20 to 24,Male,White,Not Domestic Abuse,Harrow,Knife or Sharp Implement,Solved,1,APR,spring
2003-04-01,65 and over,Male,White,Domestic Abuse,Southwark,Blunt Implement,Solved,1,APR,spring
2003-04-01,25 to 34,Male,White,Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,1,APR,spring
2003-04-01,25 to 34,Male,Black,Not Domestic Abuse,Ealing,Shooting,Solved,1,APR,spring
2003-04-01,35 to 44,Female,White,Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,1,APR,spring
2003-04-01,25 to 34,Male,Black,Not Domestic Abuse,Ealing,Shooting,Unsolved,1,APR,spring
2003-04-01,35 to 44,Male,White,Not Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,1,APR,spring
2003-04-01,20 to 24,Male,Asian,Not Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,1,APR,spring
2003-04-01,25 to 34,Male,Black,Not Domestic Abuse,Ealing,Shooting,Solved,1,APR,spring
2003-04-01,20 to 24,Male,White,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,1,APR,spring
2003-04-01,35 to 44,Male,White,Domestic Abuse,Westminster,Knife or Sharp Implement,Solved,1,APR,spring
2003-05-01,25 to 34,Female,White,Domestic Abuse,Hillingdon,Physical Assault,Solved,1,MAY,spring
2003-05-01,45 to 54,Male,White,Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Solved,1,MAY,spring
2003-05-01,20 to 24,Male,Black,Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,MAY,spring
2003-05-01,55 to 64,Male,White,Not Domestic Abuse,Kensington & Chelsea,Blunt Implement,Unsolved,1,MAY,spring
2003-05-01,55 to 64,Male,White,Not Domestic Abuse,Southwark,Shooting,Solved,1,MAY,spring
2003-05-01,25 to 34,Male,Black,Not Domestic Abuse,Southwark,Shooting,Unsolved,1,MAY,spring
2003-05-01,45 to 54,Female,White,Domestic Abuse,Southwark,Physical Assault,Solved,1,MAY,spring
2003-05-01,35 to 44,Male,Black,Not Domestic Abuse,Brent,Knife or Sharp Implement,Solved,1,MAY,spring
2003-05-01,25 to 34,Female,White,Domestic Abuse,Tower Hamlets,Physical Assault,Solved,1,MAY,spring
2003-05-01,25 to 34,Male,White,Not Domestic Abuse,Lewisham,Blunt Implement,Solved,1,MAY,spring
2003-05-01,35 to 44,Male,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,MAY,spring
2003-06-01,35 to 44,Male,White,Not Domestic Abuse,Waltham Forest,Knife or Sharp Implement,Solved,1,JUN,summer
2003-06-01,35 to 44,Male,Asian,Not Domestic Abuse,Westminster,Shooting,Unsolved,1,JUN,summer
2003-06-01,20 to 24,Male,Asian,Not Domestic Abuse,Brent,Knife or Sharp Implement,Solved,1,JUN,summer
2003-06-01,13 to 19,Male,Asian,Not Domestic Abuse,Redbridge,Knife or Sharp Implement,Solved,1,JUN,summer
2003-06-01,25 to 34,Male,Asian,Not Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,1,JUN,summer
2003-06-01,13 to 19,Male,Black,Not Domestic Abuse,Hackney,Shooting,Solved,1,JUN,summer
2003-06-01,0 to 12,Female,White,Not Domestic Abuse,Hounslow,Physical Assault,Solved,1,JUN,summer
2003-06-01,45 to 54,Male,White,Not Domestic Abuse,Barnet,Knife or Sharp Implement,Solved,1,JUN,summer
2003-06-01,65 and over,Male,White,Not Domestic Abuse,Hackney,Blunt Implement,Unsolved,1,JUN,summer
2003-06-01,25 to 34,Male,White,Not Domestic Abuse,Islington,Blunt Implement,Unsolved,1,JUN,summer
2003-06-01,25 to 34,Male,White,Not Domestic Abuse,Enfield,Knife or Sharp Implement,Solved,1,JUN,summer
2003-06-01,20 to 24,Male,Asian,Not Domestic Abuse,Newham,Blunt Implement,Solved,1,JUN,summer
2003-06-01,65 and over,Male,White,Not Domestic Abuse,Hackney,Knife or Sharp Implement,Unsolved,1,JUN,summer
2003-06-01,35 to 44,Male,Asian,Not Domestic Abuse,Lewisham,Shooting,Solved,1,JUN,summer
2003-06-01,25 to 34,Male,Black,Domestic Abuse,Haringey,Blunt Implement,Solved,1,JUN,summer
2003-06-01,20 to 24,Female,White,Domestic Abuse,Waltham Forest,Physical Assault,Solved,1,JUN,summer
2003-06-01,25 to 34,Female,Asian,Domestic Abuse,Hillingdon,Physical Assault,Solved,1,JUN,summer
2003-07-01,13 to 19,Male,Black,Not Domestic Abuse,Waltham Forest,Shooting,Solved,1,JUL,summer
2003-07-01,20 to 24,Female,White,Not Domestic Abuse,Newham,Physical Assault,Solved,1,JUL,summer
2003-07-01,13 to 19,Male,Black,Not Domestic Abuse,Newham,Knife or Sharp Implement,Solved,1,JUL,summer
2003-07-01,65 and over,Female,White,Not Domestic Abuse,Tower Hamlets,Physical Assault,Solved,1,JUL,summer
2003-07-01,25 to 34,Male,White,Not Domestic Abuse,Redbridge,Knife or Sharp Implement,Solved,1,JUL,summer
2003-07-01,25 to 34,Male,Black,Not Domestic Abuse,Southwark,Knife or Sharp Implement,Solved,1,JUL,summer
2003-07-01,25 to 34,Male,White,Domestic Abuse,Redbridge,Knife or Sharp Implement,Solved,1,JUL,summer
2003-07-01,20 to 24,Female,Asian,Not Domestic Abuse,Hounslow,Blunt Implement,Solved,1,JUL,summer
2003-07-01,45 to 54,Female,Asian,Not Domestic Abuse,Hounslow,Blunt Implement,Solved,1,JUL,summer
2003-07-01,0 to 12,Male,Asian,Not Domestic Abuse,Hounslow,Blunt Implement,Solved,1,JUL,summer
2003-07-01,0 to 12,Male,Asian,Not Domestic Abuse,Hounslow,Blunt Implement,Solved,1,JUL,summer
2003-07-01,35 to 44,Male,Asian,Not Domestic Abuse,Croydon,Knife or Sharp Implement,Solved,1,JUL,summer
2003-07-01,45 to 54,Female,White,Domestic Abuse,Newham,Knife or Sharp Implement,Solved,1,JUL,summer
2003-07-01,25 to 34,Female,Asian,Domestic Abuse,Newham,Knife or Sharp Implement,Solved,1,JUL,summer
2003-07-01,45 to 54,Male,White,Not Domestic Abuse,Southwark,Knife or Sharp Implement,Solved,1,JUL,summer
2003-07-01,45 to 54,Male,Asian,Not Domestic Abuse,Barking & Dagenham,Blunt Implement,Solved,1,JUL,summer
2003-08-01,25 to 34,Female,White,Domestic Abuse,Redbridge,Knife or Sharp Implement,Solved,1,AUG,summer
2003-08-01,35 to 44,Female,White,Domestic Abuse,Westminster,Knife or Sharp Implement,Solved,1,AUG,summer
2003-08-01,35 to 44,Female,Asian,Not Domestic Abuse,Croydon,Blunt Implement,Solved,1,AUG,summer
2003-08-01,13 to 19,Male,Asian,Not Domestic Abuse,Hackney,Knife or Sharp Implement,Solved,1,AUG,summer
2003-08-01,20 to 24,Male,Black,Not Domestic Abuse,Hammersmith & Fulham,Knife or Sharp Implement,Solved,1,AUG,summer
2003-08-01,35 to 44,Male,Black,Not Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Solved,1,AUG,summer
2003-08-01,25 to 34,Male,Other,Not Domestic Abuse,Richmond Upon Thames,Knife or Sharp Implement,Solved,1,AUG,summer
2003-08-01,25 to 34,Male,White,Not Domestic Abuse,Havering,Knife or Sharp Implement,Solved,1,AUG,summer
2003-08-01,45 to 54,Male,Asian,Not Domestic Abuse,Newham,Shooting,Solved,1,AUG,summer
2003-08-01,35 to 44,Male,Asian,Not Domestic Abuse,Newham,Shooting,Solved,1,AUG,summer
2003-08-01,13 to 19,Male,Asian,Not Domestic Abuse,Brent,Knife or Sharp Implement,Solved,1,AUG,summer
2003-09-01,25 to 34,Male,Black,Not Domestic Abuse,Lambeth,Knife or Sharp Implement,Unsolved,1,SEP,autumn
2003-09-01,20 to 24,Female,White,Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,SEP,autumn
2003-09-01,13 to 19,Male,Black,Not Domestic Abuse,Southwark,Knife or Sharp Implement,Solved,1,SEP,autumn
2003-09-01,35 to 44,Male,White,Not Domestic Abuse,Southwark,Physical Assault,Solved,1,SEP,autumn
2003-09-01,13 to 19,Male,Black,Not Domestic Abuse,Lewisham,Knife or Sharp Implement,Solved,1,SEP,autumn
2003-09-01,35 to 44,Male,Black,Not Domestic Abuse,Lewisham,Knife or Sharp Implement,Solved,1,SEP,autumn
2003-09-01,25 to 34,Male,White,Not Domestic Abuse,Islington,Knife or Sharp Implement,Solved,1,SEP,autumn
2003-09-01,35 to 44,Male,Black,Not Domestic Abuse,Brent,Shooting,Solved,1,SEP,autumn
2003-09-01,0 to 12,Female,Black,Not Domestic Abuse,Brent,Shooting,Solved,1,SEP,autumn
2003-09-01,65 and over,Female,White,Domestic Abuse,Lewisham,Blunt Implement,Solved,1,SEP,autumn
2003-09-01,25 to 34,Male,Black,Not Domestic Abuse,Camden,Knife or Sharp Implement,Solved,1,SEP,autumn
2003-09-01,45 to 54,Male,Asian,Not Domestic Abuse,Greenwich,Physical Assault,Solved,1,SEP,autumn
2003-09-01,35 to 44,Female,White,Domestic Abuse,Lambeth,Knife or Sharp Implement,Solved,1,SEP,autumn
2003-09-01,25 to 34,Male,Asian,Not Domestic Abuse,Newham,Knife or Sharp Implement,Solved,1,SEP,autumn
2003-09-01,45 to 54,Male,White,Not Domestic Abuse,Kingston Upon Thames,Blunt Implement,Solved,1,SEP,autumn
2003-10-01,20 to 24,Male,Asian,Not Domestic Abuse,Waltham Forest,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,45 to 54,Male,White,Not Domestic Abuse,Hackney,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,25 to 34,Male,Asian,Not Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,55 to 64,Male,White,Not Domestic Abuse,Islington,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,25 to 34,Male,White,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,65 and over,Female,Black,Domestic Abuse,Hackney,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,25 to 34,Male,Black,Domestic Abuse,Enfield,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,55 to 64,Male,White,Not Domestic Abuse,Southwark,Shooting,Unsolved,1,OCT,autumn
2003-10-01,25 to 34,Female,Asian,Domestic Abuse,Waltham Forest,Physical Assault,Solved,1,OCT,autumn
2003-10-01,45 to 54,Male,Asian,Not Domestic Abuse,Hounslow,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,25 to 34,Male,Black,Not Domestic Abuse,Lambeth,Shooting,Unsolved,1,OCT,autumn
2003-10-01,55 to 64,Male,White,Not Domestic Abuse,Enfield,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,20 to 24,Male,White,Not Domestic Abuse,Newham,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,45 to 54,Male,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,25 to 34,Male,Asian,Not Domestic Abuse,Croydon,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,35 to 44,Female,White,Domestic Abuse,Redbridge,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,35 to 44,Male,White,Domestic Abuse,Islington,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-10-01,25 to 34,Male,Black,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,1,OCT,autumn
2003-11-01,45 to 54,Male,Asian,Not Domestic Abuse,Harrow,Blunt Implement,Solved,1,NOV,autumn
2003-11-01,35 to 44,Male,White,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,1,NOV,autumn
2003-11-01,25 to 34,Male,White,Not Domestic Abuse,Lambeth,Physical Assault,Solved,1,NOV,autumn
2003-11-01,35 to 44,Male,White,Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,1,NOV,autumn
2003-11-01,20 to 24,Male,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,NOV,autumn
2003-11-01,20 to 24,Male,White,Not Domestic Abuse,Hackney,Shooting,Solved,1,NOV,autumn
2003-11-01,20 to 24,Male,White,Not Domestic Abuse,Havering,Physical Assault,Solved,1,NOV,autumn
2003-11-01,20 to 24,Male,Black,Not Domestic Abuse,Lewisham,Knife or Sharp Implement,Solved,1,NOV,autumn
2003-11-01,55 to 64,Male,White,Domestic Abuse,Enfield,Blunt Implement,Solved,1,NOV,autumn
2003-11-01,35 to 44,Male,Other,Not Domestic Abuse,Hammersmith & Fulham,Shooting,Unsolved,1,NOV,autumn
2003-12-01,45 to 54,Female,Asian,Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Solved,1,DEC,winter
2003-12-01,45 to 54,Male,White,Not Domestic Abuse,Waltham Forest,Knife or Sharp Implement,Unsolved,1,DEC,winter
2003-12-01,20 to 24,Male,Black,Not Domestic Abuse,Lambeth,Shooting,Unsolved,1,DEC,winter
2003-12-01,35 to 44,Female,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,DEC,winter
2003-12-01,45 to 54,Male,White,Domestic Abuse,Hillingdon,Knife or Sharp Implement,Solved,1,DEC,winter
2003-12-01,55 to 64,Male,White,Not Domestic Abuse,Hackney,Blunt Implement,Solved,1,DEC,winter
2003-12-01,13 to 19,Male,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,1,DEC,winter
2004-01-01,25 to 34,Male,White,Not Domestic Abuse,Havering,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,45 to 54,Male,White,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,35 to 44,Male,Black,Not Domestic Abuse,Newham,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,65 and over,Female,White,Domestic Abuse,Croydon,Physical Assault,Solved,2,JAN,winter
2004-01-01,35 to 44,Male,Black,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,20 to 24,Male,Black,Not Domestic Abuse,Waltham Forest,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,55 to 64,Female,White,Domestic Abuse,Haringey,Physical Assault,Solved,2,JAN,winter
2004-01-01,13 to 19,Male,Black,Not Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,25 to 34,Male,Asian,Not Domestic Abuse,Newham,Blunt Implement,Solved,2,JAN,winter
2004-01-01,20 to 24,Male,Black,Not Domestic Abuse,Hackney,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,13 to 19,Male,White,Not Domestic Abuse,Newham,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,35 to 44,Male,Black,Not Domestic Abuse,Redbridge,Blunt Implement,Solved,2,JAN,winter
2004-01-01,55 to 64,Female,White,Domestic Abuse,Hammersmith & Fulham,Physical Assault,Solved,2,JAN,winter
2004-01-01,45 to 54,Male,Black,Not Domestic Abuse,Lambeth,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,20 to 24,Male,Asian,Not Domestic Abuse,Lewisham,Knife or Sharp Implement,Solved,2,JAN,winter
2004-01-01,20 to 24,Male,Black,Not Domestic Abuse,Lambeth,Shooting,Solved,2,JAN,winter
2004-01-01,25 to 34,Female,White,Domestic Abuse,Richmond Upon Thames,Physical Assault,Solved,2,JAN,winter
2004-02-01,35 to 44,Male,Black,Not Domestic Abuse,Croydon,Knife or Sharp Implement,Solved,2,FEB,winter
2004-02-01,35 to 44,Male,White,Not Domestic Abuse,Havering,Blunt Implement,Solved,2,FEB,winter
2004-02-01,25 to 34,Female,Asian,Domestic Abuse,Richmond Upon Thames,Physical Assault,Solved,2,FEB,winter
2004-02-01,25 to 34,Male,White,Not Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Solved,2,FEB,winter
2004-02-01,45 to 54,Male,White,Not Domestic Abuse,Waltham Forest,Knife or Sharp Implement,Solved,2,FEB,winter
2004-03-01,20 to 24,Female,Black,Not Domestic Abuse,Westminster,Knife or Sharp Implement,Unsolved,2,MAR,spring
2004-03-01,25 to 34,Male,Black,Not Domestic Abuse,Haringey,Shooting,Solved,2,MAR,spring
2004-03-01,45 to 54,Female,White,Not Domestic Abuse,Hillingdon,Knife or Sharp Implement,Solved,2,MAR,spring
2004-03-01,65 and over,Male,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,2,MAR,spring
2004-03-01,13 to 19,Female,White,Domestic Abuse,Southwark,Knife or Sharp Implement,Solved,2,MAR,spring
2004-03-01,25 to 34,Male,White,Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,2,MAR,spring
2004-03-01,65 and over,Female,Asian,Domestic Abuse,Southwark,Physical Assault,Solved,2,MAR,spring
2004-03-01,20 to 24,Male,Black,Not Domestic Abuse,Lewisham,Knife or Sharp Implement,Solved,2,MAR,spring
2004-03-01,13 to 19,Male,Black,Not Domestic Abuse,Ealing,Shooting,Unsolved,2,MAR,spring
2004-03-01,35 to 44,Female,White,Not Domestic Abuse,Enfield,Physical Assault,Solved,2,MAR,spring
2004-03-01,35 to 44,Male,Black,Not Domestic Abuse,Lewisham,Knife or Sharp Implement,Solved,2,MAR,spring
2004-04-01,25 to 34,Male,Black,Not Domestic Abuse,Enfield,Shooting,Unsolved,2,APR,spring
2004-04-01,20 to 24,Male,Black,Not Domestic Abuse,Southwark,Shooting,Solved,2,APR,spring
2004-04-01,35 to 44,Male,Black,Not Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,2,APR,spring
2004-04-01,45 to 54,Male,White,Not Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,2,APR,spring
2004-04-01,25 to 34,Male,Black,Not Domestic Abuse,Ealing,Shooting,Solved,2,APR,spring
2004-04-01,65 and over,Female,White,Domestic Abuse,Ealing,Physical Assault,Solved,2,APR,spring
2004-04-01,13 to 19,Male,Black,Not Domestic Abuse,Wandsworth,Blunt Implement,Solved,2,APR,spring
2004-04-01,25 to 34,Male,White,Not Domestic Abuse,Barking & Dagenham,Knife or Sharp Implement,Solved,2,APR,spring
2004-04-01,20 to 24,Male,Black,Not Domestic Abuse,Kensington & Chelsea,Shooting,Solved,2,APR,spring
2004-04-01,35 to 44,Male,White,Not Domestic Abuse,Hackney,Knife or Sharp Implement,Solved,2,APR,spring
2004-04-01,20 to 24,Male,Asian,Not Domestic Abuse,Newham,Knife or Sharp Implement,Solved,2,APR,spring
2004-05-01,13 to 19,Male,White,Not Domestic Abuse,Sutton,Knife or Sharp Implement,Solved,2,MAY,spring
2004-05-01,35 to 44,Male,White,Not Domestic Abuse,Bromley,Knife or Sharp Implement,Solved,2,MAY,spring
2004-05-01,25 to 34,Female,Asian,Domestic Abuse,Tower Hamlets,Blunt Implement,Solved,2,MAY,spring
2004-05-01,35 to 44,Male,Black,Not Domestic Abuse,Hammersmith & Fulham,Knife or Sharp Implement,Solved,2,MAY,spring
2004-05-01,13 to 19,Male,Black,Not Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,2,MAY,spring
2004-05-01,20 to 24,Male,White,Not Domestic Abuse,Redbridge,Knife or Sharp Implement,Solved,2,MAY,spring
2004-05-01,35 to 44,Male,White,Not Domestic Abuse,Camden,Knife or Sharp Implement,Solved,2,MAY,spring
2004-05-01,20 to 24,Male,Black,Not Domestic Abuse,Brent,Shooting,Solved,2,MAY,spring
2004-05-01,20 to 24,Male,White,Not Domestic Abuse,Islington,Knife or Sharp Implement,Solved,2,MAY,spring
2004-05-01,35 to 44,Female,Black,Domestic Abuse,Waltham Forest,Knife or Sharp Implement,Solved,2,MAY,spring
2004-05-01,25 to 34,Male,Black,Not Domestic Abuse,Lambeth,Knife or Sharp Implement,Solved,2,MAY,spring
2004-06-01,45 to 54,Male,White,Not Domestic Abuse,Southwark,Knife or Sharp Implement,Solved,2,JUN,summer
2004-06-01,25 to 34,Male,Black,Not Domestic Abuse,Newham,Knife or Sharp Implement,Solved,2,JUN,summer
2004-06-01,45 to 54,Male,White,Not Domestic Abuse,Hackney,Knife or Sharp Implement,Solved,2,JUN,summer
2004-06-01,20 to 24,Male,Black,Not Domestic Abuse,Kensington & Chelsea,Shooting,Solved,2,JUN,summer
2004-06-01,25 to 34,Female,Black,Not Domestic Abuse,Southwark,Knife or Sharp Implement,Solved,2,JUN,summer
2004-06-01,20 to 24,Male,Black,Not Domestic Abuse,Lambeth,Shooting,Solved,2,JUN,summer
2004-06-01,25 to 34,Male,Black,Not Domestic Abuse,Lambeth,Shooting,Solved,2,JUN,summer
2004-06-01,20 to 24,Female,White,Domestic Abuse,Westminster,Knife or Sharp Implement,Solved,2,JUN,summer
2004-06-01,13 to 19,Male,Black,Not Domestic Abuse,Hammersmith & Fulham,Knife or Sharp Implement,Solved,2,JUN,summer
2004-06-01,65 and over,Male,White,Domestic Abuse,Tower Hamlets,Blunt Implement,Solved,2,JUN,summer
2004-06-01,20 to 24,Male,Asian,Not Domestic Abuse,Newham,Blunt Implement,Solved,2,JUN,summer
2004-07-01,25 to 34,Male,Black,Not Domestic Abuse,Southwark,Shooting,Solved,2,JUL,summer
2004-07-01,45 to 54,Female,White,Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,2,JUL,summer
2004-07-01,20 to 24,Male,White,Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,2,JUL,summer
2004-07-01,20 to 24,Male,Black,Not Domestic Abuse,Kensington & Chelsea,Knife or Sharp Implement,Solved,2,JUL,summer
2004-07-01,20 to 24,Male,Black,Not Domestic Abuse,Brent,Knife or Sharp Implement,Solved,2,JUL,summer
2004-07-01,20 to 24,Male,Black,Not Domestic Abuse,Barking & Dagenham,Shooting,Solved,2,JUL,summer
2004-07-01,13 to 19,Male,White,Not Domestic Abuse,Lewisham,Knife or Sharp Implement,Solved,2,JUL,summer
2004-07-01,25 to 34,Male,White,Domestic Abuse,Bexley,Knife or Sharp Implement,Solved,2,JUL,summer
2004-07-01,35 to 44,Male,White,Not Domestic Abuse,Hackney,Knife or Sharp Implement,Solved,2,JUL,summer
2004-07-01,20 to 24,Male,Black,Not Domestic Abuse,Newham,Shooting,Solved,2,JUL,summer
2004-07-01,55 to 64,Male,White,Not Domestic Abuse,Greenwich,Knife or Sharp Implement,Solved,2,JUL,summer
2004-08-01,25 to 34,Male,White,Not Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Solved,2,AUG,summer
2004-08-01,13 to 19,Male,Asian,Not Domestic Abuse,Hounslow,Knife or Sharp Implement,Solved,2,AUG,summer
2004-08-01,65 and over,Male,Asian,Domestic Abuse,Croydon,Physical Assault,Solved,2,AUG,summer
2004-08-01,35 to 44,Female,White,Domestic Abuse,Bromley,Physical Assault,Solved,2,AUG,summer
2004-08-01,20 to 24,Female,White,Not Domestic Abuse,Richmond Upon Thames,Blunt Implement,Solved,2,AUG,summer
2004-08-01,13 to 19,Male,Black,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,2,AUG,summer
